"For shame!"	crosswordtracker.com/clue/for-shame/
Foot digit	crosswordheaven.com/clues/foot-digit
Stocking stuffer	crosswordheaven.com/clues/stocking-stuffer
Foot part	crosswordheaven.com/clues/foot-part
"This little piggy ..." digit	crosswordheaven.com/clues/this-little-piggy-digit
Piggy, to a tot	crosswordheaven.com/clues/piggy-to-a-tot
Talon's location	crosswordheaven.com/clues/talons-location
Ballerina's pivot	crosswordheaven.com/clues/ballerinas-pivot
Stubbing victim	crosswordheaven.com/clues/stubbing-victim
The third of three X's	crosswordheaven.com/clues/the-third-of-three-xs
Corn spot	crosswordheaven.com/clues/corn-spot
Chipped part of a statue, maybe	crosswordheaven.com/clues/chipped-part-of-a-statue-maybe
___ loop (skating move)	crosswordheaven.com/clues/___-loop-skating-move
Nail spot	crosswordheaven.com/clues/nail-spot
The third O of OOO	crosswordheaven.com/clues/the-third-o-of-ooo
It's sometimes stubbed	crosswordheaven.com/clues/its-sometimes-stubbed
Ring bearer, maybe	crosswordheaven.com/clues/ring-bearer-maybe
Nail's place	crosswordheaven.com/clues/nails-place
Ledge grabber	crosswordheaven.com/clues/ledge-grabber
Final X, maybe	crosswordheaven.com/clues/final-x-maybe
Boot tip	crosswordheaven.com/clues/boot-tip
Footsie player?	crosswordheaven.com/clues/footsie-player
The winning X	crosswordheaven.com/clues/the-winning-x
Crude thermometer in the pool?	crosswordheaven.com/clues/crude-thermometer-in-the-pool
Place for a ring	crosswordheaven.com/clues/place-for-a-ring
__ the line	crosswordheaven.com/clues/__-the-line
Ring site	crosswordheaven.com/clues/ring-site
Nail setting	crosswordheaven.com/clues/nail-setting
__ the line: conform	crosswordheaven.com/clues/__-the-line-conform
First thing in the water, usually	crosswordheaven.com/clues/first-thing-in-the-water-usually
Lou "The __" Groza, memorable NFL placekicker	crosswordheaven.com/clues/lou-the-__-groza-memorable-nfl-placekicker
Oft-stubbed digit	crosswordheaven.com/clues/oft-stubbed-digit
Terminal digit	crosswordheaven.com/clues/terminal-digit
Podiatrist's concern	crosswordheaven.com/clues/podiatrists-concern
One of the little piggies	crosswordheaven.com/clues/one-of-the-little-piggies
Beat tapper	crosswordheaven.com/clues/beat-tapper
Tapper, at times	crosswordheaven.com/clues/tapper-at-times
Nail locale	crosswordheaven.com/clues/nail-locale
Little piggy, in a tot's rhyme	crosswordheaven.com/clues/little-piggy-in-a-tots-rhyme
__ the line (obey)	crosswordheaven.com/clues/__-the-line-obey
Water-temperature tester	crosswordheaven.com/clues/water-temperature-tester
Part of a sock	crosswordheaven.com/clues/part-of-a-sock
Water-temperature gauge	crosswordheaven.com/clues/water-temperature-gauge
Pedal part	crosswordheaven.com/clues/pedal-part
Polish target, perhaps	crosswordheaven.com/clues/polish-target-perhaps
Golf-club part	crosswordheaven.com/clues/golf-club-part
''Little piggie''	crosswordheaven.com/clues/little-piggie
Part of a shoe	crosswordheaven.com/clues/part-of-a-shoe
Tot's ''little piggie''	crosswordheaven.com/clues/tots-little-piggie
Foot ending	crosswordheaven.com/clues/foot-ending
Part of a foot	crosswordheaven.com/clues/part-of-a-foot
Part of the foot	crosswordheaven.com/clues/part-of-the-foot
Tip of a sock	crosswordheaven.com/clues/tip-of-a-sock
One end of a sock	crosswordheaven.com/clues/one-end-of-a-sock
Nail-polish target	crosswordheaven.com/clues/nail-polish-target
Polish site	crosswordheaven.com/clues/polish-site
Tic-tac-__	crosswordheaven.com/clues/tic-tac-__
Big __	crosswordheaven.com/clues/big-__
Tip of a shoe	crosswordheaven.com/clues/tip-of-a-shoe
Swimming-pool tester	crosswordheaven.com/clues/swimming-pool-tester
Minimus, e.g.	crosswordheaven.com/clues/minimus-eg
Last O of O-O-O	crosswordheaven.com/clues/last-o-of-o-o-o
Nether digit	crosswordheaven.com/clues/nether-digit
Lower extremity	crosswordheaven.com/clues/lower-extremity
Digit that may be big	crosswordheaven.com/clues/digit-that-may-be-big
Sock section	crosswordheaven.com/clues/sock-section
Occasional tapper	crosswordheaven.com/clues/occasional-tapper
Piggy who went to market, e.g.	crosswordheaven.com/clues/piggy-who-went-to-market-eg
Foot end	crosswordheaven.com/clues/foot-end
Darned spot?	crosswordheaven.com/clues/darned-spot
Ballerina's perch	crosswordheaven.com/clues/ballerinas-perch
Big or little digit	crosswordheaven.com/clues/big-or-little-digit
Type of hold	crosswordheaven.com/clues/type-of-hold
Baby's ''piggy''	crosswordheaven.com/clues/babys-piggy
Phalanx locale	crosswordheaven.com/clues/phalanx-locale
Piggy, e.g.	crosswordheaven.com/clues/piggy-eg
Kicker's digit?	crosswordheaven.com/clues/kickers-digit
It can be big or little	crosswordheaven.com/clues/it-can-be-big-or-little
Oft-tapped item	crosswordheaven.com/clues/oft-tapped-item
Body part susceptible to frostbite	crosswordheaven.com/clues/body-part-susceptible-to-frostbite
Big and little digit	crosswordheaven.com/clues/big-and-little-digit
Winning X	crosswordheaven.com/clues/winning-x
It can be painful when corny	crosswordheaven.com/clues/it-can-be-painful-when-corny
Word with "hold" or "nail"	crosswordheaven.com/clues/word-with-hold-or-nail
Word with "tapper"	crosswordheaven.com/clues/word-with-tapper
Wingtip section	crosswordheaven.com/clues/wingtip-section
Last of three X's	crosswordheaven.com/clues/last-of-three-xs
One O of OOO	crosswordheaven.com/clues/one-o-of-ooo
The end of Italy, shapewise	crosswordheaven.com/clues/the-end-of-italy-shapewise
Head opposite	crosswordheaven.com/clues/head-opposite
Word with hold or nail	crosswordheaven.com/clues/word-with-hold-or-nail
Gout target, often	crosswordheaven.com/clues/gout-target-often
Digit	crosswordheaven.com/clues/digit
Golf club head part	crosswordheaven.com/clues/golf-club-head-part
Piggy who went to market	crosswordheaven.com/clues/piggy-who-went-to-market
Bath-water tester	crosswordheaven.com/clues/bath-water-tester
Unit smaller than a foot?	crosswordheaven.com/clues/unit-smaller-than-a-foot
Wing tip part	crosswordheaven.com/clues/wing-tip-part
Third X in a game	crosswordheaven.com/clues/third-x-in-a-game
"Piggy"	crosswordheaven.com/clues/piggy
Pirouette pivot point	crosswordheaven.com/clues/pirouette-pivot-point
Tot's "little piggie"	crosswordheaven.com/clues/tots-little-piggie
Sight in a sandal	crosswordheaven.com/clues/sight-in-a-sandal
Place for polish, perhaps	crosswordheaven.com/clues/place-for-polish-perhaps
Little piggy, so to speak	crosswordheaven.com/clues/little-piggy-so-to-speak
It may have a painted nail	crosswordheaven.com/clues/it-may-have-a-painted-nail
Piggy, of a sort	crosswordheaven.com/clues/piggy-of-a-sort
Ring site, perhaps	crosswordheaven.com/clues/ring-site-perhaps
Ballet pivot	crosswordheaven.com/clues/ballet-pivot
Water-testing digit	crosswordheaven.com/clues/water-testing-digit
Stiff ballet shoe part	crosswordheaven.com/clues/stiff-ballet-shoe-part
___ the line (obey)	crosswordheaven.com/clues/___-the-line-obey
Big ___	crosswordheaven.com/clues/big-___
Sock tip	crosswordheaven.com/clues/sock-tip
It's often pointed in gymnastics	crosswordheaven.com/clues/its-often-pointed-in-gymnastics
Sock's end	crosswordheaven.com/clues/socks-end
"The __": placekicker Lou Groza's nickname	crosswordheaven.com/clues/the-__-placekicker-lou-grozas-nickname
Little dipper?	crosswordheaven.com/clues/little-dipper
Piggy, to a kiddy	crosswordheaven.com/clues/piggy-to-a-kiddy
It's usually first into the tub	crosswordheaven.com/clues/its-usually-first-into-the-tub
One on the Statue of Liberty is almost three feet long	crosswordheaven.com/clues/one-on-the-statue-of-liberty-is-almost-three-feet-long
Polish place, perhaps	crosswordheaven.com/clues/polish-place-perhaps
Tip of a boot	crosswordheaven.com/clues/tip-of-a-boot
XXX part	crosswordheaven.com/clues/xxx-part
Stubbed digit	crosswordheaven.com/clues/stubbed-digit
Get the point of	crosswordheaven.com/clues/get-the-point-of
Common gout site	crosswordheaven.com/clues/common-gout-site
Part of Italy where Cape Spartivento is	crosswordheaven.com/clues/part-of-italy-where-cape-spartivento-is
Water temperature gauge?	crosswordheaven.com/clues/water-temperature-gauge
Tip of a mule	crosswordheaven.com/clues/tip-of-a-mule
Third X, in a simple game	crosswordheaven.com/clues/third-x-in-a-simple-game
Bunions place	crosswordheaven.com/clues/bunions-place
___ the line: conform	crosswordheaven.com/clues/___-the-line-conform
Lou "The ___" Groza, memorable NFL placekicker	crosswordheaven.com/clues/lou-the-___-groza-memorable-nfl-placekicker
"The ___": placekicker Lou Groza's nickname	crosswordheaven.com/clues/the-___-placekicker-lou-grozas-nickname
Foot feature with phalanges	crosswordheaven.com/clues/foot-feature-with-phalanges
Corn grower?	crosswordheaven.com/clues/corn-grower
Bad dancer's target	crosswordheaven.com/clues/bad-dancers-target
Musician's tapper	crosswordheaven.com/clues/musicians-tapper
"Little piggie"	crosswordheaven.com/clues/little-piggie
Tic-tac-___	crosswordheaven.com/clues/tic-tac-___
Pavlova's pivot	crosswordheaven.com/clues/pavlovas-pivot
Bathwater temperature tester	crosswordheaven.com/clues/bathwater-temperature-tester
Word after big, middle, or little	crosswordheaven.com/clues/word-after-big-middle-or-little
Ballerina's pivot point	crosswordheaven.com/clues/ballerinas-pivot-point
One of the 10 lowest digits?	crosswordheaven.com/clues/one-of-the-10-lowest-digits
Oxford leader?	crosswordheaven.com/clues/oxford-leader
Big or little follower	crosswordheaven.com/clues/big-or-little-follower
Foot feature	crosswordheaven.com/clues/foot-feature
Nail or loop preceder	crosswordheaven.com/clues/nail-or-loop-preceder
Ungulate's hoof, essentially	crosswordheaven.com/clues/ungulates-hoof-essentially
Sock or foot part	crosswordheaven.com/clues/sock-or-foot-part
Body part that can be stubbed	crosswordheaven.com/clues/body-part-that-can-be-stubbed
Shoe front	crosswordheaven.com/clues/shoe-front
Tub temperature tester	crosswordheaven.com/clues/tub-temperature-tester
Body part	crosswordheaven.com/clues/body-part
It may be painted	crosswordheaven.com/clues/it-may-be-painted
Pedicurist's target(3)	crosswordheaven.com/clues/pedicurists-target3
Shoe tip	crosswordheaven.com/clues/shoe-tip
Stubbed extremity	crosswordheaven.com/clues/stubbed-extremity
It may be tapped at a concert	crosswordheaven.com/clues/it-may-be-tapped-at-a-concert
Pivot point when en pointe	crosswordheaven.com/clues/pivot-point-when-en-pointe
Sub-unit of a foot	crosswordheaven.com/clues/sub-unit-of-a-foot
Digit that's sometimes stubbed	crosswordheaven.com/clues/digit-thats-sometimes-stubbed
Pump part	crosswordheaven.com/clues/pump-part
Pump part	crosswordheaven.com/clues/pump-part
Stub hub?	crosswordheaven.com/clues/stub-hub
Site for a ring	crosswordheaven.com/clues/site-for-a-ring
Little wiggler	crosswordheaven.com/clues/little-wiggler
Follower of tic-tac	crosswordheaven.com/clues/follower-of-tic-tac
Bunion spot	crosswordheaven.com/clues/bunion-spot
Sandal sight	crosswordheaven.com/clues/sandal-sight
Loafer part	crosswordheaven.com/clues/loafer-part
Corn setting	crosswordheaven.com/clues/corn-setting
Placekicker's pride	crosswordheaven.com/clues/placekickers-pride
Sock end	crosswordheaven.com/clues/sock-end
'Piggy'	crosswordheaven.com/clues/piggy
Water tester?	crosswordheaven.com/clues/water-tester
Place-kicker's pride	crosswordheaven.com/clues/place-kickers-pride
Foot  feature	crosswordheaven.com/clues/foot-feature
Corn holder	crosswordheaven.com/clues/corn-holder
Bodily digit	crosswordheaven.com/clues/bodily-digit
It has a nail	crosswordheaven.com/clues/it-has-a-nail
Stubbed part	crosswordheaven.com/clues/stubbed-part
Body part with a nail	crosswordheaven.com/clues/body-part-with-a-nail
Tot's 'piggy'	crosswordheaven.com/clues/tots-piggy
'Little piggy'	crosswordheaven.com/clues/little-piggy
Digit affected by gout	crosswordheaven.com/clues/digit-affected-by-gout
Tootsie	crosswordheaven.com/clues/tootsie
"Little piggy," in a children's rhyme	crosswordheaven.com/clues/little-piggy-in-a-childrens-rhyme
Crude pool thermometer?	crosswordheaven.com/clues/crude-pool-thermometer
With 49-Across, figure skating practice	crosswordheaven.com/clues/with-49-across-figure-skating-practice
Body part not covered by a thong	crosswordheaven.com/clues/body-part-not-covered-by-a-thong
Oft-stubbed extremity	crosswordheaven.com/clues/oft-stubbed-extremity
Turf ___ (gridder's malady)	crosswordheaven.com/clues/turf-___-gridders-malady
___ clip (bike part)	crosswordheaven.com/clues/___-clip-bike-part
Little digit	crosswordheaven.com/clues/little-digit
Turf ___: common football injury	crosswordheaven.com/clues/turf-___-common-football-injury
See 23-Across	crosswordheaven.com/clues/see-23-across
End of a game	crosswordheaven.com/clues/end-of-a-game
Slipper part	crosswordheaven.com/clues/slipper-part
Digit with a ring, maybe	crosswordheaven.com/clues/digit-with-a-ring-maybe
Third X or O	crosswordheaven.com/clues/third-x-or-o
Nursery "piggy"	crosswordheaven.com/clues/nursery-piggy
Tip trailer	crosswordheaven.com/clues/tip-trailer
Winning X or O	crosswordheaven.com/clues/winning-x-or-o
Pointe balancing point	crosswordheaven.com/clues/pointe-balancing-point
Tip-___	crosswordheaven.com/clues/tip-___
Sneaker part	crosswordheaven.com/clues/sneaker-part
End of a golf club	crosswordheaven.com/clues/end-of-a-golf-club
Word with tapper	crosswordheaven.com/clues/word-with-tapper
Digital print source?	crosswordheaven.com/clues/digital-print-source
Pirouette pivot	http://www.crosswordgiant.com/crossword-clue/217181/Pirouette-pivot
Foot part	http://www.crosswordgiant.com/crossword-clue/46918/Foot-part
Water tester	http://www.crosswordgiant.com/crossword-clue/1437/Water-tester
Sock part	http://www.crosswordgiant.com/crossword-clue/162622/Sock-part
Boot part	http://www.crosswordgiant.com/crossword-clue/6425/Boot-part
Low digit	http://www.crosswordgiant.com/crossword-clue/76718/Low-digit
Placekicker's pride	http://www.crosswordgiant.com/crossword-clue/286135/Placekickers-pride
Lower digit	http://www.crosswordgiant.com/crossword-clue/649559/Lower-digit
Foot digit	http://www.crosswordgiant.com/crossword-clue/480255/Foot-digit
Nail site	http://www.crosswordgiant.com/crossword-clue/362/Nail-site
Little piggy	http://www.crosswordgiant.com/crossword-clue/108522/Little-piggy
Shoe part	http://www.crosswordgiant.com/crossword-clue/42390/Shoe-part
Foot feature	http://www.crosswordgiant.com/crossword-clue/240908/Foot-feature
Corn site	http://www.crosswordgiant.com/crossword-clue/37029/Corn-site
Digit	http://www.crosswordgiant.com/crossword-clue/117844/Digit
Piggy	http://www.crosswordgiant.com/crossword-clue/154265/Piggy
Small digit	http://www.crosswordgiant.com/crossword-clue/210627/Small-digit
Bathwater tester	http://www.crosswordgiant.com/crossword-clue/73987/Bathwater-tester
Nail holder	http://www.crosswordgiant.com/crossword-clue/143099/Nail-holder
Tip of a sock	http://www.crosswordgiant.com/crossword-clue/637839/Tip-of-a-sock
Tip of a shoe	http://www.crosswordgiant.com/crossword-clue/748286/Tip-of-a-shoe
Stubbed digit	http://www.crosswordgiant.com/crossword-clue/877126/Stubbed-digit
Familiar tapper	http://www.crosswordgiant.com/crossword-clue/33736/Familiar-tapper
Unit smaller than a foot	http://www.crosswordgiant.com/crossword-clue/166952/Unit-smaller-than-a-foot
Place for a ring	http://www.crosswordgiant.com/crossword-clue/173318/Place-for-a-ring
Stocking stuffer?	http://www.crosswordgiant.com/crossword-clue/222758/Stocking-stuffer
Loafer part	http://www.crosswordgiant.com/crossword-clue/258687/Loafer-part
Big or little digit	http://www.crosswordgiant.com/crossword-clue/301813/Big-or-little-digit
Sandal sight	http://www.crosswordgiant.com/crossword-clue/447008/Sandal-sight
Tip of a boot	http://www.crosswordgiant.com/crossword-clue/869552/Tip-of-a-boot
Less than one foot in an easterly direction	http://www.crosswordgiant.com/crossword-clue/1057336/Less-than-one-foot-in-an-easterly-direction
Ring site	http://www.crosswordgiant.com/crossword-clue/3052/Ring-site
Pirouette point	http://www.crosswordgiant.com/crossword-clue/58019/Pirouette-point
Stocking part	http://www.crosswordgiant.com/crossword-clue/72339/Stocking-part
Low digit?	http://www.crosswordgiant.com/crossword-clue/81830/Low-digit
Ballerina's perch	http://www.crosswordgiant.com/crossword-clue/168578/Ballerinas-perch
Sock section	http://www.crosswordgiant.com/crossword-clue/180752/Sock-section
Place-kicker's pride	http://www.crosswordgiant.com/crossword-clue/228690/Place-kickers-pride
Kind of hold	http://www.crosswordgiant.com/crossword-clue/266929/Kind-of-hold
'Piggy'	http://www.crosswordgiant.com/crossword-clue/330648/Piggy
Nail setting	http://www.crosswordgiant.com/crossword-clue/357213/Nail-setting
Part of a sock	http://www.crosswordgiant.com/crossword-clue/414076/Part-of-a-sock
Tub temperature tester	http://www.crosswordgiant.com/crossword-clue/437059/Tub-temperature-tester
Stubbing victim	http://www.crosswordgiant.com/crossword-clue/441150/Stubbing-victim
Little dipper?	http://www.crosswordgiant.com/crossword-clue/479016/Little-dipper
Darn site	http://www.crosswordgiant.com/crossword-clue/56276/Darn-site
Stocking's end	http://www.crosswordgiant.com/crossword-clue/63522/Stockings-end
Corn holder	http://www.crosswordgiant.com/crossword-clue/81633/Corn-holder
Balance beam gripper	http://www.crosswordgiant.com/crossword-clue/84979/Balance-beam-gripper
Musician's tapper	http://www.crosswordgiant.com/crossword-clue/108754/Musicians-tapper
Water temperature tester	http://www.crosswordgiant.com/crossword-clue/121067/Water-temperature-tester
Wing-tip tip	http://www.crosswordgiant.com/crossword-clue/137766/Wing-tip-tip
Corn grower?	http://www.crosswordgiant.com/crossword-clue/138665/Corn-grower
Pedal digit	http://www.crosswordgiant.com/crossword-clue/187071/Pedal-digit
Ballerina's pivot	http://www.crosswordgiant.com/crossword-clue/194085/Ballerinas-pivot
Phalanx locale	http://www.crosswordgiant.com/crossword-clue/209375/Phalanx-locale
Type of hold	http://www.crosswordgiant.com/crossword-clue/216679/Type-of-hold
It can be big or little	http://www.crosswordgiant.com/crossword-clue/219113/It-can-be-big-or-little
Stubbed item	http://www.crosswordgiant.com/crossword-clue/225324/Stubbed-item
Corn setting	http://www.crosswordgiant.com/crossword-clue/263607/Corn-setting
Winning X or O	http://www.crosswordgiant.com/crossword-clue/271196/Winning-X-or-O
Kicker?	http://www.crosswordgiant.com/crossword-clue/310497/Kicker
Oft-stubbed digit	http://www.crosswordgiant.com/crossword-clue/348002/Oft-stubbed-digit
Digit that may be big	http://www.crosswordgiant.com/crossword-clue/387626/Digit-that-may-be-big
The third O of OOO	http://www.crosswordgiant.com/crossword-clue/406208/The-third-O-of-OOO
Stubbed thing	http://www.crosswordgiant.com/crossword-clue/429308/Stubbed-thing
Tot's 'piggy'	http://www.crosswordgiant.com/crossword-clue/450072/Tots-piggy
Golf-club part	http://www.crosswordgiant.com/crossword-clue/459755/Golf-club-part
Bunion spot	http://www.crosswordgiant.com/crossword-clue/466516/Bunion-spot
''Little piggie''	http://www.crosswordgiant.com/crossword-clue/480667/Little-piggie
Wingtip tip	http://www.crosswordgiant.com/crossword-clue/532026/Wingtip-tip
Stocking's tip	http://www.crosswordgiant.com/crossword-clue/555965/Stockings-tip
It may be pinched	http://www.crosswordgiant.com/crossword-clue/591576/It-may-be-pinched
Tip of a wingtip	http://www.crosswordgiant.com/crossword-clue/645564/Tip-of-a-wingtip
Place for a hole in a sock	http://www.crosswordgiant.com/crossword-clue/11353/Place-for-a-hole-in-a-sock
Part of the foot	http://www.crosswordgiant.com/crossword-clue/19817/Part-of-the-foot
Little piggy?	http://www.crosswordgiant.com/crossword-clue/43699/Little-piggy
Corn locale	http://www.crosswordgiant.com/crossword-clue/58649/Corn-locale
Nailed item	http://www.crosswordgiant.com/crossword-clue/107590/Nailed-item
Pool temperature tester	http://www.crosswordgiant.com/crossword-clue/129356/Pool-temperature-tester
Tip of a wing tip	http://www.crosswordgiant.com/crossword-clue/175024/Tip-of-a-wing-tip
Part of a foot	http://www.crosswordgiant.com/crossword-clue/220555/Part-of-a-foot
Foot  feature	http://www.crosswordgiant.com/crossword-clue/248153/Foot-feature
Darned spot?	http://www.crosswordgiant.com/crossword-clue/263837/Darned-spot
Darned spot	http://www.crosswordgiant.com/crossword-clue/281672/Darned-spot
Piggy who went to market	http://www.crosswordgiant.com/crossword-clue/317436/Piggy-who-went-to-market
Sneaker part	http://www.crosswordgiant.com/crossword-clue/322759/Sneaker-part
Pedicure target	http://www.crosswordgiant.com/crossword-clue/322886/Pedicure-target
Bunion's place	http://www.crosswordgiant.com/crossword-clue/325053/Bunions-place
__ the line (obey)	http://www.crosswordgiant.com/crossword-clue/363111/__-the-line-obey
Stocking stuffer?	http://www.crosswordgiant.com/crossword-clue/363148/Stocking-stuffer
Water tester?	http://www.crosswordgiant.com/crossword-clue/395899/Water-tester
Single digit	http://www.crosswordgiant.com/crossword-clue/399307/Single-digit
Tot's ''little piggie''	http://www.crosswordgiant.com/crossword-clue/490558/Tots-little-piggie
'Little piggy'	http://www.crosswordgiant.com/crossword-clue/505385/Little-piggy
Big __	http://www.crosswordgiant.com/crossword-clue/515280/Big-__
One of the little piggies	http://www.crosswordgiant.com/crossword-clue/519057/One-of-the-little-piggies
Bathwater tester?	http://www.crosswordgiant.com/crossword-clue/520001/Bathwater-tester
Sandal's lack	http://www.crosswordgiant.com/crossword-clue/532658/Sandals-lack
Boot tip	http://www.crosswordgiant.com/crossword-clue/536627/Boot-tip
One end of a sock	http://www.crosswordgiant.com/crossword-clue/641575/One-end-of-a-sock
Nail-polish target	http://www.crosswordgiant.com/crossword-clue/683517/Nail-polish-target
Tic-tac-__	http://www.crosswordgiant.com/crossword-clue/712827/Tic-tac-__
Last O of O-O-O	http://www.crosswordgiant.com/crossword-clue/725317/Last-O-of-O-O-O
Body part susceptible to frostbite	http://www.crosswordgiant.com/crossword-clue/787820/Body-part-susceptible-to-frostbite
Little piggy, so to speak	http://www.crosswordgiant.com/crossword-clue/814074/Little-piggy-so-to-speak
Stiff ballet shoe part	http://www.crosswordgiant.com/crossword-clue/829765/Stiff-ballet-shoe-part
Shoe tip	http://www.crosswordgiant.com/crossword-clue/892236/Shoe-tip
A foot division	http://www.crosswordgiant.com/crossword-clue/963424/A-foot-division
Conform - . . . the line	http://www.crosswordgiant.com/crossword-clue/1002843/Conform-.-.-.-the-line
One goes on foot in an easterly direction	http://www.crosswordgiant.com/crossword-clue/1053746/One-goes-on-foot-in-an-easterly-direction
Eastwards, perhaps, on foot	http://www.crosswordgiant.com/crossword-clue/1062077/Eastwards-perhaps-on-foot
On foot in an easterly direction	http://www.crosswordgiant.com/crossword-clue/1089304/On-foot-in-an-easterly-direction
In an easterly direction on foot	http://www.crosswordgiant.com/crossword-clue/1114257/In-an-easterly-direction-on-foot
Temperature tester	http://www.crosswordgiant.com/crossword-clue/1232740/Temperature-tester
Baby's "piggy"	http://www.crosswordgiant.com/crossword-clue/1410788/Babys-piggy
Part of Italy	http://www.crosswordgiant.com/crossword-clue/863/Part-of-Italy
Stocking stuffer	http://www.crosswordgiant.com/crossword-clue/20335/Stocking-stuffer
Turning point?	http://www.crosswordgiant.com/crossword-clue/22668/Turning-point
See 23-Across	http://www.crosswordgiant.com/crossword-clue/26122/See-23-Across
See 28-Across	http://www.crosswordgiant.com/crossword-clue/35052/See-28-Across
Golf club part	http://www.crosswordgiant.com/crossword-clue/43501/Golf-club-part
Gout spot	http://www.crosswordgiant.com/crossword-clue/45564/Gout-spot
Time keeper, at times	http://www.crosswordgiant.com/crossword-clue/48774/Time-keeper-at-times
Italy's bottom	http://www.crosswordgiant.com/crossword-clue/53546/Italys-bottom
Tootsie	http://www.crosswordgiant.com/crossword-clue/53854/Tootsie
Shoe part that may pinch	http://www.crosswordgiant.com/crossword-clue/55765/Shoe-part-that-may-pinch
It may test the waters	http://www.crosswordgiant.com/crossword-clue/59209/It-may-test-the-waters
Third X	http://www.crosswordgiant.com/crossword-clue/60654/Third-X
___ loop (skater's jump)	http://www.crosswordgiant.com/crossword-clue/63930/___-loop-skaters-jump
Water tester, maybe	http://www.crosswordgiant.com/crossword-clue/65712/Water-tester-maybe
Ballerina's asset	http://www.crosswordgiant.com/crossword-clue/81561/Ballerinas-asset
Slipper part	http://www.crosswordgiant.com/crossword-clue/112883/Slipper-part
Water tester, at times	http://www.crosswordgiant.com/crossword-clue/125151/Water-tester-at-times
Dactyl	http://www.crosswordgiant.com/crossword-clue/125415/Dactyl
Common darning spot	http://www.crosswordgiant.com/crossword-clue/130265/Common-darning-spot
It's tapped	http://www.crosswordgiant.com/crossword-clue/132939/Its-tapped
It's sometimes stubbed	http://www.crosswordgiant.com/crossword-clue/133552/Its-sometimes-stubbed
Turning point for Pavlova?	http://www.crosswordgiant.com/crossword-clue/137911/Turning-point-for-Pavlova
Bunion�s place	http://www.crosswordgiant.com/crossword-clue/144281/Bunions-place
Hose part	http://www.crosswordgiant.com/crossword-clue/149271/Hose-part
Pavlova's turning point?	http://www.crosswordgiant.com/crossword-clue/150240/Pavlovas-turning-point
Punt propeller?	http://www.crosswordgiant.com/crossword-clue/156680/Punt-propeller
End of a golf club	http://www.crosswordgiant.com/crossword-clue/157796/End-of-a-golf-club
Ballerina's support	http://www.crosswordgiant.com/crossword-clue/158974/Ballerinas-support
''--- the line!''	http://www.crosswordgiant.com/crossword-clue/163277/-the-line
Tap it	http://www.crosswordgiant.com/crossword-clue/168297/Tap-it
Place for a nail	http://www.crosswordgiant.com/crossword-clue/182406/Place-for-a-nail
It may be stubbed	http://www.crosswordgiant.com/crossword-clue/191278/It-may-be-stubbed
Hoof part	http://www.crosswordgiant.com/crossword-clue/200472/Hoof-part
Wing tip part	http://www.crosswordgiant.com/crossword-clue/208388/Wing-tip-part
Digital feature	http://www.crosswordgiant.com/crossword-clue/211334/Digital-feature
It may test the water	http://www.crosswordgiant.com/crossword-clue/213065/It-may-test-the-water
"___ the line!"	http://www.crosswordgiant.com/crossword-clue/237509/___-the-line
Bath-water tester	http://www.crosswordgiant.com/crossword-clue/241170/Bath-water-tester
Big digit	http://www.crosswordgiant.com/crossword-clue/244939/Big-digit
Big or little dipper	http://www.crosswordgiant.com/crossword-clue/249273/Big-or-little-dipper
Unit smaller than a foot?	http://www.crosswordgiant.com/crossword-clue/259447/Unit-smaller-than-a-foot
Hammer in obliquely	http://www.crosswordgiant.com/crossword-clue/262990/Hammer-in-obliquely
Bunion site	http://www.crosswordgiant.com/crossword-clue/264751/Bunion-site
Tip for a ballerina	http://www.crosswordgiant.com/crossword-clue/267598/Tip-for-a-ballerina
Bath water tester	http://www.crosswordgiant.com/crossword-clue/280672/Bath-water-tester
Body part	http://www.crosswordgiant.com/crossword-clue/281335/Body-part
Part of a shoe	http://www.crosswordgiant.com/crossword-clue/285961/Part-of-a-shoe
Little digit	http://www.crosswordgiant.com/crossword-clue/287439/Little-digit
Podiatrist's concern	http://www.crosswordgiant.com/crossword-clue/298983/Podiatrists-concern
XXX part	http://www.crosswordgiant.com/crossword-clue/303647/XXX-part
Golf club head part	http://www.crosswordgiant.com/crossword-clue/303950/Golf-club-head-part
It's nailed	http://www.crosswordgiant.com/crossword-clue/308492/Its-nailed
Corn location	http://www.crosswordgiant.com/crossword-clue/328790/Corn-location
Part of a pair of tights	http://www.crosswordgiant.com/crossword-clue/331396/Part-of-a-pair-of-tights
Third X, in a game	http://www.crosswordgiant.com/crossword-clue/333887/Third-X-in-a-game
Hammer on a slant	http://www.crosswordgiant.com/crossword-clue/351217/Hammer-on-a-slant
Limb's end	http://www.crosswordgiant.com/crossword-clue/354041/Limbs-end
Water temperature gauge	http://www.crosswordgiant.com/crossword-clue/356143/Water-temperature-gauge
Spot for a nail	http://www.crosswordgiant.com/crossword-clue/373231/Spot-for-a-nail
Head opposite	http://www.crosswordgiant.com/crossword-clue/382042/Head-opposite
Tapper, at times	http://www.crosswordgiant.com/crossword-clue/386552/Tapper-at-times
Water-temperature tester	http://www.crosswordgiant.com/crossword-clue/393138/Water-temperature-tester
Corn grower	http://www.crosswordgiant.com/crossword-clue/401535/Corn-grower
Foot's end	http://www.crosswordgiant.com/crossword-clue/402254/Foots-end
