Pub order	crosswordtracker.com/clue/pub-order/
Pint contents, maybe	crosswordtracker.com/clue/pint-contents-maybe/
It may take a few hops	crosswordtracker.com/clue/it-may-take-a-few-hops/
Pint contents	crosswordtracker.com/clue/pint-contents-1/
McSorley's order	crosswordtracker.com/clue/mcsorleys-order/
Pale potation	crosswordtracker.com/clue/pale-potation/
Drink sold by the yard	crosswordtracker.com/clue/drink-sold-by-the-yard/
Sierra Nevada, for one	crosswordtracker.com/clue/sierra-nevada-for-one/
Pint poured in a pub	crosswordtracker.com/clue/pint-poured-in-a-pub/
Some six-pack contents	crosswordtracker.com/clue/some-six-pack-contents/
Word after ginger or brown	crosswordtracker.com/clue/word-after-ginger-or-brown/
Saloon order	crosswordtracker.com/clue/saloon-order/
Drink in a yard	crosswordtracker.com/clue/drink-in-a-yard/
Bottle marked "XXX" in the comics	crosswordtracker.com/clue/bottle-marked-xxx-in-the-comics/
Microbrewery buy	crosswordtracker.com/clue/microbrewery-buy/
Bar pint contents	crosswordtracker.com/clue/bar-pint-contents/
Pale or brown brew	crosswordtracker.com/clue/pale-or-brown-brew/
One might be blonde	crosswordtracker.com/clue/one-might-be-blonde/
Beerlike beverage	crosswordtracker.com/clue/beerlike-beverage-1/
"Pale" beverage	crosswordtracker.com/clue/pale-beverage/
It's sold by the pint	crosswordtracker.com/clue/its-sold-by-the-pint/
Drink sometimes indicated in comics by "XXX"	crosswordtracker.com/clue/drink-sometimes-indicated-in-comics-by-xxx/
Fat Tire product	crosswordtracker.com/clue/fat-tire-product/
Dogfish Head product	crosswordtracker.com/clue/dogfish-head-product/
Draft candidate	crosswordtracker.com/clue/draft-candidate/
Drink that may accompany fish and chips	crosswordtracker.com/clue/drink-that-may-accompany-fish-and-chips/
Oktoberfest brew	crosswordtracker.com/clue/oktoberfest-brew/
Buzzsaw Brown, e.g.	crosswordtracker.com/clue/buzzsaw-brown-eg/
It might flow in bars	crosswordtracker.com/clue/it-might-flow-in-bars/
Brewed barley beverage	crosswordtracker.com/clue/brewed-barley-beverage/
Pub fare	crosswordtracker.com/clue/pub-fare/
Porter, for example	crosswordtracker.com/clue/porter-for-example/
Tan bit of a black and tan	crosswordtracker.com/clue/tan-bit-of-a-black-and-tan/
"Ginger" drink	crosswordtracker.com/clue/ginger-drink/
Something that's not hard to drink?	crosswordtracker.com/clue/something-thats-not-hard-to-drink/
Order at the Green Dragon	crosswordtracker.com/clue/order-at-the-green-dragon/
It may be sold in yards	crosswordtracker.com/clue/it-may-be-sold-in-yards/
Many a pint	crosswordtracker.com/clue/many-a-pint/
Bar tap	crosswordtracker.com/clue/bar-tap/
Drink at the Duck and Drake	crosswordtracker.com/clue/drink-at-the-duck-and-drake/
Bitter ___	crosswordtracker.com/clue/bitter-___-1/
It might be in a yard	crosswordtracker.com/clue/it-might-be-in-a-yard/
Draft selection	crosswordtracker.com/clue/draft-selection-2/
Pilsener kin	crosswordtracker.com/clue/pilsener-kin/
Stuff sold in yards	crosswordtracker.com/clue/stuff-sold-in-yards/
Order at the Crown & Anchor	crosswordtracker.com/clue/order-at-the-crown-anchor/
Beverage that's bitterer than beer	crosswordtracker.com/clue/beverage-thats-bitterer-than-beer/
It has its head in a glass	crosswordtracker.com/clue/it-has-its-head-in-a-glass/
Nog ingredient, maybe	crosswordtracker.com/clue/nog-ingredient-maybe/
Yard contents, sometimes	crosswordtracker.com/clue/yard-contents-sometimes/
Full Sail or Fuller's	crosswordtracker.com/clue/full-sail-or-fullers/
It contains about 6% alcohol by volume	crosswordtracker.com/clue/it-contains-about-6-alcohol-by-volume/
Beverage that may be blonde or pale	crosswordtracker.com/clue/beverage-that-may-be-blonde-or-pale/
Choice in a pub	crosswordtracker.com/clue/choice-in-a-pub/
Pub standard	crosswordtracker.com/clue/pub-standard/
Nut-brown quaff	crosswordtracker.com/clue/nut-brown-quaff/
Dark-colored beer	crosswordtracker.com/clue/dark-colored-beer/
View the Notepad or read the Across clues for help.	crosswordtracker.com/clue/view-the-notepad-or-read-the-across-clues-for-help/
Bath beverage	crosswordtracker.com/clue/bath-beverage/
Cold porter	crosswordtracker.com/clue/cold-porter-2/
It may come in cases	crosswordtracker.com/clue/it-may-come-in-cases/
Bitter, to a Brit	crosswordtracker.com/clue/bitter-to-a-brit/
Pitcherful, maybe	crosswordtracker.com/clue/pitcherful-maybe/
Draught, maybe	crosswordtracker.com/clue/draught-maybe/
Old Foghorn, e.g.	crosswordtracker.com/clue/old-foghorn-eg/
XXX drink, in the comics	crosswordtracker.com/clue/xxx-drink-in-the-comics/
It has a bite and hops	crosswordtracker.com/clue/it-has-a-bite-and-hops/
Malted drink that's not a malted	crosswordtracker.com/clue/malted-drink-thats-not-a-malted/
Draft variety	crosswordtracker.com/clue/draft-variety/
Pub patron's pint	crosswordtracker.com/clue/pub-patrons-pint/
King's Head order	crosswordtracker.com/clue/kings-head-order/
The "A" in IPA	crosswordtracker.com/clue/the-a-in-ipa/
Order at the George & Dragon	crosswordtracker.com/clue/order-at-the-george-dragon/
It may be taken in in an inn	crosswordtracker.com/clue/it-may-be-taken-in-in-an-inn/
Lead-in for house or wife	crosswordtracker.com/clue/lead-in-for-house-or-wife/
It might help wash down a banger	crosswordtracker.com/clue/it-might-help-wash-down-a-banger/
Pale pub pick	crosswordtracker.com/clue/pale-pub-pick/
"Dark" quaff	crosswordtracker.com/clue/dark-quaff-1/
Old Peculier, for one	crosswordtracker.com/clue/old-peculier-for-one/
It may be inn stock	crosswordtracker.com/clue/it-may-be-inn-stock/
Publican offering	crosswordtracker.com/clue/publican-offering/
Major medieval nutrition source	crosswordtracker.com/clue/major-medieval-nutrition-source/
Oft-pale beverage	crosswordtracker.com/clue/oft-pale-beverage/
What a round might contain	crosswordtracker.com/clue/what-a-round-might-contain/
Word with "bitter" or "winter"	crosswordtracker.com/clue/word-with-bitter-or-winter-1/
Pub potion	crosswordtracker.com/clue/pub-potion/
Pilsener relative	crosswordtracker.com/clue/pilsener-relative/
Festival at Fareham	crosswordtracker.com/clue/festival-at-fareham/
Half of a Maugham pair	crosswordtracker.com/clue/half-of-a-maugham-pair/
Pothouse order	crosswordtracker.com/clue/pothouse-order/
Pub tap	crosswordtracker.com/clue/pub-tap/
Heady pub serving	crosswordtracker.com/clue/heady-pub-serving/
Bock kin	crosswordtracker.com/clue/bock-kin/
Kin of bock	crosswordtracker.com/clue/kin-of-bock/
Milwaukee product	crosswordtracker.com/clue/milwaukee-product/
"Cakes" literary partner	crosswordtracker.com/clue/cakes-literary-partner/
Rathskeller offering	crosswordtracker.com/clue/rathskeller-offering/
Malt liquor	crosswordtracker.com/clue/malt-liquor-4/
Hood's quaff	crosswordtracker.com/clue/hoods-quaff/
Wassail quaff	crosswordtracker.com/clue/wassail-quaff/
Tankard's liquid	crosswordtracker.com/clue/tankards-liquid/
Lager's relative	crosswordtracker.com/clue/lagers-relative/
Tavern brew	crosswordtracker.com/clue/tavern-brew/
Sickening drink?	crosswordtracker.com/clue/sickening-drink/
Kvass's cousin	crosswordtracker.com/clue/kvasss-cousin/
Stout stuff	crosswordtracker.com/clue/stout-stuff/
Robust drink	crosswordtracker.com/clue/robust-drink/
Tankard tipple	crosswordtracker.com/clue/tankard-tipple/
Pale or Newcastle brown	crosswordtracker.com/clue/pale-or-newcastle-brown/
Staffordshire product	crosswordtracker.com/clue/staffordshire-product/
Hearty draught	crosswordtracker.com/clue/hearty-draught/
Draft ____	crosswordtracker.com/clue/draft-____/
Porter relative	crosswordtracker.com/clue/porter-relative/
Pub pint's contents	crosswordtracker.com/clue/pub-pints-contents/
Cakes' companion	crosswordtracker.com/clue/cakes-companion/
Drink served in a Toby	crosswordtracker.com/clue/drink-served-in-a-toby/
Hot-pot ingredient	crosswordtracker.com/clue/hot-pot-ingredient/
It is often nut-brown	crosswordtracker.com/clue/it-is-often-nut-brown/
Cakes' unlikely partner	crosswordtracker.com/clue/cakes-unlikely-partner/
Sometimes it's on draft	crosswordtracker.com/clue/sometimes-its-on-draft/
Porter's cousin	crosswordtracker.com/clue/porters-cousin/
A Canadian export	crosswordtracker.com/clue/a-canadian-export/
Wassail ingredient	crosswordtracker.com/clue/wassail-ingredient-1/
"Cheers" choice	crosswordtracker.com/clue/cheers-choice/
October ___	crosswordtracker.com/clue/october-___/
Companion of cakes	crosswordtracker.com/clue/companion-of-cakes/
October beverage	crosswordtracker.com/clue/october-beverage/
Cakes and ___	crosswordtracker.com/clue/cakes-and-___-4/
Hood's refresher	crosswordtracker.com/clue/hoods-refresher/
Taproom quaff	crosswordtracker.com/clue/taproom-quaff/
Cakes' literary partner	crosswordtracker.com/clue/cakes-literary-partner-1/
October potable	crosswordtracker.com/clue/october-potable/
Pint filler	crosswordtracker.com/clue/pint-filler/
It may be represented by "XXX" in the funnies	crosswordtracker.com/clue/it-may-be-represented-by-xxx-in-the-funnies/
Porter alternative	crosswordtracker.com/clue/porter-alternative/
Ballantine ___ (bygone brand)	crosswordtracker.com/clue/ballantine-___-bygone-brand/
Ginger ___ (common mixer)	crosswordtracker.com/clue/ginger-___-common-mixer/
Fish and chips accompanier, perhaps	crosswordtracker.com/clue/fish-and-chips-accompanier-perhaps/
"Cakes and ___"	crosswordtracker.com/clue/cakes-and-___-5/
McSorley's serving	crosswordtracker.com/clue/mcsorleys-serving/
Nut-brown brew	crosswordtracker.com/clue/nut-brown-brew/
Pub crawl beverage	crosswordtracker.com/clue/pub-crawl-beverage/
Ogden Porter, e.g.	crosswordtracker.com/clue/ogden-porter-eg/
Ginger ___ (Shirley Temple ingredient)	crosswordtracker.com/clue/ginger-___-shirley-temple-ingredient/
It might be on tap	crosswordtracker.com/clue/it-might-be-on-tap/
Brewery barrelful	crosswordtracker.com/clue/brewery-barrelful/
McSorley's Old ___ House (East Village landmark)	crosswordtracker.com/clue/mcsorleys-old-___-house-east-village-landmark/
Egghot ingredient	crosswordtracker.com/clue/egghot-ingredient/
Barley wine, e.g.	crosswordtracker.com/clue/barley-wine-eg/
Contents of some kegs	crosswordtracker.com/clue/contents-of-some-kegs/
Brewery beverage	crosswordtracker.com/clue/brewery-beverage/
W. Somerset Maugham's "Cakes and ___"	crosswordtracker.com/clue/w-somerset-maughams-cakes-and-___/
Ginger ___ (soft drink)	crosswordtracker.com/clue/ginger-___-soft-drink/
Publican's pour, perhaps	crosswordtracker.com/clue/publicans-pour-perhaps/
It can be pale	crosswordtracker.com/clue/it-can-be-pale/
Pete's Wicked ___	crosswordtracker.com/clue/petes-wicked-___/
Andy Capp's drink	crosswordtracker.com/clue/andy-capps-drink/
Drink in a Maugham title	crosswordtracker.com/clue/drink-in-a-maugham-title/
It flows in bars	crosswordtracker.com/clue/it-flows-in-bars/
Sierra Nevada product	crosswordtracker.com/clue/sierra-nevada-product/
It might be tapped out	crosswordtracker.com/clue/it-might-be-tapped-out/
Newcastle Brown ___	crosswordtracker.com/clue/newcastle-brown-___/
Draft served with darts	crosswordtracker.com/clue/draft-served-with-darts/
Word on beer bottle labels	crosswordtracker.com/clue/word-on-beer-bottle-labels/
Bass from the UK, say	crosswordtracker.com/clue/bass-from-the-uk-say/
Brown ___	crosswordtracker.com/clue/brown-___-5/
Wife or house preceder	crosswordtracker.com/clue/wife-or-house-preceder/
Alexander Keith offering	crosswordtracker.com/clue/alexander-keith-offering/
India Pale is one	crosswordtracker.com/clue/india-pale-is-one/
Alexander Keith specialty	crosswordtracker.com/clue/alexander-keith-specialty/
Moosehead, for one	crosswordtracker.com/clue/moosehead-for-one/
Capilano Pale ____	crosswordtracker.com/clue/capilano-pale-____/
Calgary Stock ____	crosswordtracker.com/clue/calgary-stock-____/
Barley sandwich?	crosswordtracker.com/clue/barley-sandwich/
Word with India Pale	crosswordtracker.com/clue/word-with-india-pale/
Export or India Pale	crosswordtracker.com/clue/export-or-india-pale/
With ginger, Invention of our J.Mclaughlin	crosswordtracker.com/clue/with-ginger-invention-of-our-jmclaughlin/
India pale, for one	crosswordtracker.com/clue/india-pale-for-one/
Drink near a dartboard, maybe	crosswordtracker.com/clue/drink-near-a-dartboard-maybe/
Darker-than-beer quaff	crosswordtracker.com/clue/darker-than-beer-quaff/
It may be pint-size	crosswordtracker.com/clue/it-may-be-pint-size-1/
Foamy quaff	crosswordtracker.com/clue/foamy-quaff/
Schooner load	crosswordtracker.com/clue/schooner-load/
Quaffer's order	crosswordtracker.com/clue/quaffers-order/
It gets a head	crosswordtracker.com/clue/it-gets-a-head/
Pint for Andy Capp	crosswordtracker.com/clue/pint-for-andy-capp/
It may take some hops	crosswordtracker.com/clue/it-may-take-some-hops/
Keg quaff	crosswordtracker.com/clue/keg-quaff/
Pale drink	crosswordtracker.com/clue/pale-drink-2/
Hogshead contents, perhaps	crosswordtracker.com/clue/hogshead-contents-perhaps/
Pint glass fill	crosswordtracker.com/clue/pint-glass-fill/
It could be part of one's inn take	crosswordtracker.com/clue/it-could-be-part-of-ones-inn-take/
Tankard contents, often	crosswordtracker.com/clue/tankard-contents-often/
Schooner beverage	crosswordtracker.com/clue/schooner-beverage/
Beer's heavier cousin	crosswordtracker.com/clue/beers-heavier-cousin/
Tankard fill, perhaps	crosswordtracker.com/clue/tankard-fill-perhaps/
It's after ginger	crosswordtracker.com/clue/its-after-ginger/
Stout, for example	crosswordtracker.com/clue/stout-for-example/
Quaffer's choice	crosswordtracker.com/clue/quaffers-choice/
Ginger ---	crosswordtracker.com/clue/ginger--45/
Mersey potable	crosswordtracker.com/clue/mersey-potable/
Pint contents, perhaps	crosswordtracker.com/clue/pint-contents-perhaps/
Frothy quaff	crosswordtracker.com/clue/frothy-quaff/
Tavern product	crosswordtracker.com/clue/tavern-product/
It may come after ginger	crosswordtracker.com/clue/it-may-come-after-ginger/
Cakes companion	crosswordtracker.com/clue/cakes-companion-1/
Ginger's follower?	crosswordtracker.com/clue/gingers-follower/
Fish and chips follower, sometimes	crosswordtracker.com/clue/fish-and-chips-follower-sometimes/
"Cakes and ___" (Maugham)	crosswordtracker.com/clue/cakes-and-___-maugham-3/
Ipswich potable	crosswordtracker.com/clue/ipswich-potable/
Kin of beer	crosswordtracker.com/clue/kin-of-beer/
Schooner's cargo, perhaps	crosswordtracker.com/clue/schooners-cargo-perhaps/
Pint potable	crosswordtracker.com/clue/pint-potable/
It's more than 4 percent alcohol by volume in the U.S.	crosswordtracker.com/clue/its-more-than-4-percent-alcohol-by-volume-in-the-us/
Cake companion	crosswordtracker.com/clue/cake-companion/
Heady brew	crosswordtracker.com/clue/heady-brew-1/
Andy Capp beverage	crosswordtracker.com/clue/andy-capp-beverage/
Tavern tankardful	crosswordtracker.com/clue/tavern-tankardful/
Robin Hood quaff	crosswordtracker.com/clue/robin-hood-quaff/
Bitters, e.g.	crosswordtracker.com/clue/bitters-eg/
It may get a swelled head	crosswordtracker.com/clue/it-may-get-a-swelled-head/
Tankard fill	crosswordtracker.com/clue/tankard-fill-2/
Molson offering	crosswordtracker.com/clue/molson-offering/
Bath bubbler?	crosswordtracker.com/clue/bath-bubbler/
Barley wine, for one	crosswordtracker.com/clue/barley-wine-for-one/
Pete's Wicked, for one	crosswordtracker.com/clue/petes-wicked-for-one/
Bitter brew	crosswordtracker.com/clue/bitter-brew-1/
Trappist product	crosswordtracker.com/clue/trappist-product/
Tippler's taproom choice	crosswordtracker.com/clue/tipplers-taproom-choice/
Hearty pour	crosswordtracker.com/clue/hearty-pour/
Sam Adams Summer ___	crosswordtracker.com/clue/sam-adams-summer-___/
Choice after a long, hard day	crosswordtracker.com/clue/choice-after-a-long-hard-day/
It might be blonde or brown	crosswordtracker.com/clue/it-might-be-blonde-or-brown/
Thing drawn in bars	crosswordtracker.com/clue/thing-drawn-in-bars/
Brewhouse brew	crosswordtracker.com/clue/brewhouse-brew/
Gingery drink, at times	crosswordtracker.com/clue/gingery-drink-at-times/
IPA part	crosswordtracker.com/clue/ipa-part/
Bitter, e.g.	crosswordtracker.com/clue/bitter-eg/
Draught serving	crosswordtracker.com/clue/draught-serving/
Barley wine, really	crosswordtracker.com/clue/barley-wine-really/
"Craft" product	crosswordtracker.com/clue/craft-product/
"The stuff to drink for fellows whom it hurts to think," according to Housman	crosswordtracker.com/clue/the-stuff-to-drink-for-fellows-whom-it-hurts-to-think-according-to-housman/
Beverage of McSorley's	crosswordtracker.com/clue/beverage-of-mcsorleys/
"I would give all my fame for a pot of __": Shak.	crosswordtracker.com/clue/i-would-give-all-my-fame-for-a-pot-of-__-shak/
Tavern favorite	crosswordtracker.com/clue/tavern-favorite/
Sussex suds	crosswordtracker.com/clue/sussex-suds/
Hearty brew	http://www.crosswordgiant.com/crossword-clue/42257/Hearty-brew
Pub order	http://www.crosswordgiant.com/crossword-clue/19414/Pub-order
Brewery product	http://www.crosswordgiant.com/crossword-clue/65828/Brewery-product
Hearty quaff	http://www.crosswordgiant.com/crossword-clue/195858/Hearty-quaff
Pub pint	http://www.crosswordgiant.com/crossword-clue/17886/Pub-pint
Pub pints	http://www.crosswordgiant.com/crossword-clue/138124/Pub-pints
Pub beverage	http://www.crosswordgiant.com/crossword-clue/395600/Pub-beverage
Pub drink	http://www.crosswordgiant.com/crossword-clue/230809/Pub-drink
Ginger ___	http://www.crosswordgiant.com/crossword-clue/57227/Ginger-___
Tankard filler	http://www.crosswordgiant.com/crossword-clue/160882/Tankard-filler
Pub brew	http://www.crosswordgiant.com/crossword-clue/67966/Pub-brew
Pub offering	http://www.crosswordgiant.com/crossword-clue/122589/Pub-offering
Milwaukee product	http://www.crosswordgiant.com/crossword-clue/228461/Milwaukee-product
Saloon order	http://www.crosswordgiant.com/crossword-clue/217089/Saloon-order
Brew	http://www.crosswordgiant.com/crossword-clue/43151/Brew
Draft choice	http://www.crosswordgiant.com/crossword-clue/161223/Draft-choice
Steak partner	http://www.crosswordgiant.com/crossword-clue/210484/Steak-partner
Draft pick	http://www.crosswordgiant.com/crossword-clue/145785/Draft-pick
Beerlike beverage	http://www.crosswordgiant.com/crossword-clue/262774/Beerlike-beverage
Stein filler	http://www.crosswordgiant.com/crossword-clue/544018/Stein-filler
Pub serving	http://www.crosswordgiant.com/crossword-clue/84028/Pub-serving
Tavern quaff	http://www.crosswordgiant.com/crossword-clue/303499/Tavern-quaff
Frothy brew	http://www.crosswordgiant.com/crossword-clue/406639/Frothy-brew
Stout relative	http://www.crosswordgiant.com/crossword-clue/2778/Stout-relative
Draft pick?	http://www.crosswordgiant.com/crossword-clue/118979/Draft-pick
Pub potable	http://www.crosswordgiant.com/crossword-clue/134464/Pub-potable
Stout cousin	http://www.crosswordgiant.com/crossword-clue/233280/Stout-cousin
Brewery output	http://www.crosswordgiant.com/crossword-clue/247616/Brewery-output
Pub request	http://www.crosswordgiant.com/crossword-clue/274726/Pub-request
Hoppy brew	http://www.crosswordgiant.com/crossword-clue/282295/Hoppy-brew
Pub supply	http://www.crosswordgiant.com/crossword-clue/7650/Pub-supply
Bar order	http://www.crosswordgiant.com/crossword-clue/51701/Bar-order
Heady brew	http://www.crosswordgiant.com/crossword-clue/227344/Heady-brew
Microbrewery product	http://www.crosswordgiant.com/crossword-clue/240009/Microbrewery-product
Pub product	http://www.crosswordgiant.com/crossword-clue/296349/Pub-product
Tankard contents	http://www.crosswordgiant.com/crossword-clue/44230/Tankard-contents
Brewpub offering	http://www.crosswordgiant.com/crossword-clue/180232/Brewpub-offering
Pub quaff	http://www.crosswordgiant.com/crossword-clue/44797/Pub-quaff
Schooner filler	http://www.crosswordgiant.com/crossword-clue/147093/Schooner-filler
Bar choice	http://www.crosswordgiant.com/crossword-clue/308991/Bar-choice
Black and tan ingredient	http://www.crosswordgiant.com/crossword-clue/14972/Black-and-tan-ingredient
It may be pint-sized	http://www.crosswordgiant.com/crossword-clue/38220/It-may-be-pint-sized
British brew	http://www.crosswordgiant.com/crossword-clue/233837/British-brew
Malt beverage	http://www.crosswordgiant.com/crossword-clue/311533/Malt-beverage
Brewpub order	http://www.crosswordgiant.com/crossword-clue/322983/Brewpub-order
Brewpub product	http://www.crosswordgiant.com/crossword-clue/376959/Brewpub-product
Drink on draught	http://www.crosswordgiant.com/crossword-clue/429121/Drink-on-draught
Bath suds?	http://www.crosswordgiant.com/crossword-clue/42480/Bath-suds
Lager kin	http://www.crosswordgiant.com/crossword-clue/117303/Lager-kin
Pub potation	http://www.crosswordgiant.com/crossword-clue/237939/Pub-potation
Heady drink	http://www.crosswordgiant.com/crossword-clue/257078/Heady-drink
Drink with a head	http://www.crosswordgiant.com/crossword-clue/258552/Drink-with-a-head
Mug filler	http://www.crosswordgiant.com/crossword-clue/284109/Mug-filler
Beer cousin	http://www.crosswordgiant.com/crossword-clue/698952/Beer-cousin
Guinness specialty	http://www.crosswordgiant.com/crossword-clue/9283/Guinness-specialty
Porter	http://www.crosswordgiant.com/crossword-clue/18543/Porter
Bass, e.g.	http://www.crosswordgiant.com/crossword-clue/24578/Bass-e.g
Inn drink	http://www.crosswordgiant.com/crossword-clue/28048/Inn-drink
Tavern order	http://www.crosswordgiant.com/crossword-clue/72285/Tavern-order
Draft drink	http://www.crosswordgiant.com/crossword-clue/108399/Draft-drink
Word in a Maugham title	http://www.crosswordgiant.com/crossword-clue/118593/Word-in-a-Maugham-title
Ginger follower	http://www.crosswordgiant.com/crossword-clue/124455/Ginger-follower
Beer alternative	http://www.crosswordgiant.com/crossword-clue/127509/Beer-alternative
Stout	http://www.crosswordgiant.com/crossword-clue/134608/Stout
Schooner contents	http://www.crosswordgiant.com/crossword-clue/154751/Schooner-contents
Barley brew	http://www.crosswordgiant.com/crossword-clue/199655/Barley-brew
Beer's kin	http://www.crosswordgiant.com/crossword-clue/248325/Beers-kin
Amber brew	http://www.crosswordgiant.com/crossword-clue/254164/Amber-brew
Beer's cousin	http://www.crosswordgiant.com/crossword-clue/314523/Beers-cousin
Beer	http://www.crosswordgiant.com/crossword-clue/382458/Beer
Pub choice	http://www.crosswordgiant.com/crossword-clue/31460/Pub-choice
Bass, for one	http://www.crosswordgiant.com/crossword-clue/32566/Bass-for-one
Bass ___	http://www.crosswordgiant.com/crossword-clue/51467/Bass-___
It has a head and hops	http://www.crosswordgiant.com/crossword-clue/145587/It-has-a-head-and-hops
Pub purchase	http://www.crosswordgiant.com/crossword-clue/158954/Pub-purchase
Schooner fill	http://www.crosswordgiant.com/crossword-clue/256270/Schooner-fill
Barley product	http://www.crosswordgiant.com/crossword-clue/283218/Barley-product
Rathskeller fare	http://www.crosswordgiant.com/crossword-clue/312032/Rathskeller-fare
Brit's brew	http://www.crosswordgiant.com/crossword-clue/324394/Brits-brew
Yard filler	http://www.crosswordgiant.com/crossword-clue/490041/Yard-filler
Yard contents	http://www.crosswordgiant.com/crossword-clue/710953/Yard-contents
Pintful, perhaps	http://www.crosswordgiant.com/crossword-clue/4241/Pintful-perhaps
It may have a big head	http://www.crosswordgiant.com/crossword-clue/11072/It-may-have-a-big-head
London libation	http://www.crosswordgiant.com/crossword-clue/25969/London-libation
Welsh rabbit ingredient	http://www.crosswordgiant.com/crossword-clue/38623/Welsh-rabbit-ingredient
Dark brew	http://www.crosswordgiant.com/crossword-clue/104450/Dark-brew
Stout relative?	http://www.crosswordgiant.com/crossword-clue/138150/Stout-relative
Beer relative	http://www.crosswordgiant.com/crossword-clue/174994/Beer-relative
Stein contents	http://www.crosswordgiant.com/crossword-clue/178179/Stein-contents
Brewed beverage	http://www.crosswordgiant.com/crossword-clue/234315/Brewed-beverage
Ginger --	http://www.crosswordgiant.com/crossword-clue/273032/Ginger-
Ginger adjunct	http://www.crosswordgiant.com/crossword-clue/285638/Ginger-adjunct
Brewpub staple	http://www.crosswordgiant.com/crossword-clue/290663/Brewpub-staple
Steak go-with	http://www.crosswordgiant.com/crossword-clue/365316/Steak-go-with
Sam Adams product	http://www.crosswordgiant.com/crossword-clue/374261/Sam-Adams-product
Pilsner alternative	http://www.crosswordgiant.com/crossword-clue/453629/Pilsner-alternative
Ginger __	http://www.crosswordgiant.com/crossword-clue/540869/Ginger-__
Toby filler	http://www.crosswordgiant.com/crossword-clue/545041/Toby-filler
Microbrewery offering	http://www.crosswordgiant.com/crossword-clue/578678/Microbrewery-offering
Quaff in a pint	http://www.crosswordgiant.com/crossword-clue/587559/Quaff-in-a-pint
The A of IPA	http://www.crosswordgiant.com/crossword-clue/795419/The-A-of-IPA
Yard of ___ (pub glass)	http://www.crosswordgiant.com/crossword-clue/841495/Yard-of-___-pub-glass
Samuel Adams Summer __	http://www.crosswordgiant.com/crossword-clue/866672/Samuel-Adams-Summer-__
Rarebit ingredient	http://www.crosswordgiant.com/crossword-clue/1214263/Rarebit-ingredient
Saloon supply	http://www.crosswordgiant.com/crossword-clue/1408043/Saloon-supply
Public order	http://www.crosswordgiant.com/crossword-clue/2065/Public-order
Schooner's cargo	http://www.crosswordgiant.com/crossword-clue/18601/Schooners-cargo
Tabard Inn order	http://www.crosswordgiant.com/crossword-clue/37017/Tabard-Inn-order
Pale ___	http://www.crosswordgiant.com/crossword-clue/42431/Pale-___
It may be tapped	http://www.crosswordgiant.com/crossword-clue/59043/It-may-be-tapped
Cold draft	http://www.crosswordgiant.com/crossword-clue/72846/Cold-draft
Public house potable	http://www.crosswordgiant.com/crossword-clue/78460/Public-house-potable
Cakes' partner	http://www.crosswordgiant.com/crossword-clue/103524/Cakes-partner
Stout kin	http://www.crosswordgiant.com/crossword-clue/104217/Stout-kin
Potent potable	http://www.crosswordgiant.com/crossword-clue/114504/Potent-potable
Saloon selection	http://www.crosswordgiant.com/crossword-clue/116956/Saloon-selection
Heady stuff	http://www.crosswordgiant.com/crossword-clue/172696/Heady-stuff
Bar supply	http://www.crosswordgiant.com/crossword-clue/186068/Bar-supply
Keg contents	http://www.crosswordgiant.com/crossword-clue/187104/Keg-contents
Tap choice	http://www.crosswordgiant.com/crossword-clue/188570/Tap-choice
Pub staple	http://www.crosswordgiant.com/crossword-clue/244307/Pub-staple
Hearty drink	http://www.crosswordgiant.com/crossword-clue/253185/Hearty-drink
Pub suds	http://www.crosswordgiant.com/crossword-clue/275138/Pub-suds
Pub mugful	http://www.crosswordgiant.com/crossword-clue/277056/Pub-mugful
Newcastle Brown, e.g.	http://www.crosswordgiant.com/crossword-clue/305006/Newcastle-Brown-e.g
Cask serving	http://www.crosswordgiant.com/crossword-clue/320625/Cask-serving
Bristol beer	http://www.crosswordgiant.com/crossword-clue/322497/Bristol-beer
Cake companion	http://www.crosswordgiant.com/crossword-clue/323642/Cake-companion
Happy hour order	http://www.crosswordgiant.com/crossword-clue/355406/Happy-hour-order
Hearty pub offering	http://www.crosswordgiant.com/crossword-clue/364992/Hearty-pub-offering
Welsh rabbit ingredient, often	http://www.crosswordgiant.com/crossword-clue/391546/Welsh-rabbit-ingredient-often
Cask contents	http://www.crosswordgiant.com/crossword-clue/417234/Cask-contents
Malty mugful	http://www.crosswordgiant.com/crossword-clue/445212/Malty-mugful
It may be pale	http://www.crosswordgiant.com/crossword-clue/451529/It-may-be-pale
Bristol bottleful	http://www.crosswordgiant.com/crossword-clue/467578/Bristol-bottleful
Pale potable	http://www.crosswordgiant.com/crossword-clue/479929/Pale-potable
Full-bodied quaff	http://www.crosswordgiant.com/crossword-clue/503000/Full-bodied-quaff
Drawn drink	http://www.crosswordgiant.com/crossword-clue/503810/Drawn-drink
Pub pour	http://www.crosswordgiant.com/crossword-clue/519455/Pub-pour
Brewpub serving	http://www.crosswordgiant.com/crossword-clue/567631/Brewpub-serving
Tavern serving	http://www.crosswordgiant.com/crossword-clue/606643/Tavern-serving
Unhealthy-sounding beverage?	http://www.crosswordgiant.com/crossword-clue/608456/Unhealthy-sounding-beverage
Yard sale?	http://www.crosswordgiant.com/crossword-clue/699830/Yard-sale
Alcoholic beverage	http://www.crosswordgiant.com/crossword-clue/702353/Alcoholic-beverage
