Hot spot	crosswordtracker.com/clue/hot-spot/
Takeoff place?	crosswordtracker.com/clue/takeoff-place-1/
___ City (Saratoga Springs nickname)	crosswordtracker.com/clue/___-city-saratoga-springs-nickname/
Salutary site	crosswordtracker.com/clue/salutary-site/
Ice cream shop, in New England	crosswordtracker.com/clue/ice-cream-shop-in-new-england/
Where one might take off on a vacation?	crosswordtracker.com/clue/where-one-might-take-off-on-a-vacation/
Seaweed-wrap site	crosswordtracker.com/clue/seaweed-wrap-site-1/
Relaxing getaway spot	crosswordtracker.com/clue/relaxing-getaway-spot/
Facial site	crosswordtracker.com/clue/facial-site/
Balneotherapy locale	crosswordtracker.com/clue/balneotherapy-locale/
Lake Manitou, for one	crosswordtracker.com/clue/lake-manitou-for-one/
Health hangout	crosswordtracker.com/clue/health-hangout/
Vichy is one	crosswordtracker.com/clue/vichy-is-one/
Bath is one	crosswordtracker.com/clue/bath-is-one/
Bath, England, e.g.	crosswordtracker.com/clue/bath-england-eg/
Palm Springs, e.g.	crosswordtracker.com/clue/palm-springs-eg/
Ems or Baden-Baden	crosswordtracker.com/clue/ems-or-baden-baden/
Spring that may bring some zing	crosswordtracker.com/clue/spring-that-may-bring-some-zing/
Yankee soda fountain	crosswordtracker.com/clue/yankee-soda-fountain/
Watering spot	crosswordtracker.com/clue/watering-spot-1/
Troon, e.g.	crosswordtracker.com/clue/troon-eg/
Evian or Menton	crosswordtracker.com/clue/evian-or-menton/
Evian is one	crosswordtracker.com/clue/evian-is-one/
Antibes, for one	crosswordtracker.com/clue/antibes-for-one/
Place for fitness buffs	crosswordtracker.com/clue/place-for-fitness-buffs/
Resort SE of Liège	crosswordtracker.com/clue/resort-se-of-liege/
Spring resort	crosswordtracker.com/clue/spring-resort/
Tunbridge Wells is one	crosswordtracker.com/clue/tunbridge-wells-is-one/
Resort near Liège	crosswordtracker.com/clue/resort-near-liege/
Saratoga, e.g.	crosswordtracker.com/clue/saratoga-eg/
Where to warm one's bones	crosswordtracker.com/clue/where-to-warm-ones-bones/
Spot for three men in a tub	crosswordtracker.com/clue/spot-for-three-men-in-a-tub-1/
Wiesbaden, for example	crosswordtracker.com/clue/wiesbaden-for-example/
Tone-up center	crosswordtracker.com/clue/tone-up-center/
Karlovy Vary is one	crosswordtracker.com/clue/karlovy-vary-is-one/
Healing waters	crosswordtracker.com/clue/healing-waters/
Hot-tub locale	crosswordtracker.com/clue/hot-tub-locale-1/
Sauna locale	crosswordtracker.com/clue/sauna-locale/
Dax or Ems	crosswordtracker.com/clue/dax-or-ems/
Bad Soden is one	crosswordtracker.com/clue/bad-soden-is-one/
Fat farm, e.g.	crosswordtracker.com/clue/fat-farm-eg/
Marienbad is one	crosswordtracker.com/clue/marienbad-is-one/
Warm Springs, for one	crosswordtracker.com/clue/warm-springs-for-one/
Resort town of Belgium	crosswordtracker.com/clue/resort-town-of-belgium/
Bad Ems is one	crosswordtracker.com/clue/bad-ems-is-one/
Belgian town	crosswordtracker.com/clue/belgian-town-1/
Eureka Springs, e.g.	crosswordtracker.com/clue/eureka-springs-eg/
Karlsbad is one	crosswordtracker.com/clue/karlsbad-is-one/
French Lick is one	crosswordtracker.com/clue/french-lick-is-one/
Menton or Vichy	crosswordtracker.com/clue/menton-or-vichy/
Spring bringing zing	crosswordtracker.com/clue/spring-bringing-zing/
Where a spring gives zing	crosswordtracker.com/clue/where-a-spring-gives-zing/
Baden twice	crosswordtracker.com/clue/baden-twice/
Where people lose on purpose	crosswordtracker.com/clue/where-people-lose-on-purpose/
Hydrotherapy site	crosswordtracker.com/clue/hydrotherapy-site-1/
Place to find steamers	crosswordtracker.com/clue/place-to-find-steamers/
Place for R and R	crosswordtracker.com/clue/place-for-r-and-r/
Liège province town	crosswordtracker.com/clue/liege-province-town/
Resort with mudbaths	crosswordtracker.com/clue/resort-with-mudbaths/
Locale with a steam bath	crosswordtracker.com/clue/locale-with-a-steam-bath/
Hot spot for jet setters?	crosswordtracker.com/clue/hot-spot-for-jet-setters/
Place to get a frappe	crosswordtracker.com/clue/place-to-get-a-frappe/
Massage therapist hirer	crosswordtracker.com/clue/massage-therapist-hirer-1/
It has jets that cause turbulence	crosswordtracker.com/clue/it-has-jets-that-cause-turbulence/
Treatment center?	crosswordtracker.com/clue/treatment-center-3/
Yoga venue	crosswordtracker.com/clue/yoga-venue/
Day ___ (place to relax)	crosswordtracker.com/clue/day-___-place-to-relax/
Losers' hangout?	crosswordtracker.com/clue/losers-hangout/
Place for steamers?	crosswordtracker.com/clue/place-for-steamers-1/
Rubdown location	crosswordtracker.com/clue/rubdown-location/
Weekend getaway, maybe	crosswordtracker.com/clue/weekend-getaway-maybe/
Detoxification place	crosswordtracker.com/clue/detoxification-place/
Getaway with smaller portions?	crosswordtracker.com/clue/getaway-with-smaller-portions/
Day getaway	crosswordtracker.com/clue/day-getaway/
Where wraps are be made	crosswordtracker.com/clue/where-wraps-are-be-made/
Rubdown site	crosswordtracker.com/clue/rubdown-site/
Weekend retreat	crosswordtracker.com/clue/weekend-retreat/
Recreation spot	crosswordtracker.com/clue/recreation-spot/
Place for rejuvenation	crosswordtracker.com/clue/place-for-rejuvenation/
Christmas home away from home	crosswordtracker.com/clue/christmas-home-away-from-home/
Baden Baden, for one	crosswordtracker.com/clue/baden-baden-for-one-1/
Good place for losing	crosswordtracker.com/clue/good-place-for-losing/
Fat farm feature	crosswordtracker.com/clue/fat-farm-feature-1/
Fitness promoter	crosswordtracker.com/clue/fitness-promoter/
Place to shape up	crosswordtracker.com/clue/place-to-shape-up/
Reducing resort	crosswordtracker.com/clue/reducing-resort-1/
Saratoga Springs lure	crosswordtracker.com/clue/saratoga-springs-lure/
Luxury hotel offering	crosswordtracker.com/clue/luxury-hotel-offering/
Spot for hydrotherapy	crosswordtracker.com/clue/spot-for-hydrotherapy/
Where to find three men in a tub?	crosswordtracker.com/clue/where-to-find-three-men-in-a-tub/
Place to be rejuvenated	crosswordtracker.com/clue/place-to-be-rejuvenated/
Ãvian, for one	crosswordtracker.com/clue/avian-for-one/
Ritzy watering hole	crosswordtracker.com/clue/ritzy-watering-hole/
Fancy resort	crosswordtracker.com/clue/fancy-resort-1/
Good place to get in hot water	crosswordtracker.com/clue/good-place-to-get-in-hot-water/
This can ease tension	crosswordtracker.com/clue/this-can-ease-tension/
Healthy joint?	crosswordtracker.com/clue/healthy-joint-1/
Curative waters locale	crosswordtracker.com/clue/curative-waters-locale/
Good place to get into hot water	crosswordtracker.com/clue/good-place-to-get-into-hot-water/
Baden-Baden feature	crosswordtracker.com/clue/baden-baden-feature/
Cruise ship feature	crosswordtracker.com/clue/cruise-ship-feature/
It offers losing propositions	crosswordtracker.com/clue/it-offers-losing-propositions/
Marienbad's claim to fame	crosswordtracker.com/clue/marienbads-claim-to-fame/
Hydrotherapy place	crosswordtracker.com/clue/hydrotherapy-place/
Place for losers	crosswordtracker.com/clue/place-for-losers-1/
Relaxing place to spend the day	crosswordtracker.com/clue/relaxing-place-to-spend-the-day/
Place for some losers	crosswordtracker.com/clue/place-for-some-losers/
Mud bath setting	crosswordtracker.com/clue/mud-bath-setting/
Seaweed wrap provider	crosswordtracker.com/clue/seaweed-wrap-provider/
Mud wrap setting	crosswordtracker.com/clue/mud-wrap-setting/
Business that produces sweaters	crosswordtracker.com/clue/business-that-produces-sweaters/
Hydrotherapy setting	crosswordtracker.com/clue/hydrotherapy-setting/
Rest and relaxation facility	crosswordtracker.com/clue/rest-and-relaxation-facility/
Steamy spot for sweaters	crosswordtracker.com/clue/steamy-spot-for-sweaters/
Rejuvenation spot	crosswordtracker.com/clue/rejuvenation-spot/
Where to pamper oneself	crosswordtracker.com/clue/where-to-pamper-oneself/
Place to receive a facial	crosswordtracker.com/clue/place-to-receive-a-facial/
Place with soothing music, perhaps	crosswordtracker.com/clue/place-with-soothing-music-perhaps/
Mani-pedi spot	crosswordtracker.com/clue/mani-pedi-spot/
Where the rub is, sometimes	crosswordtracker.com/clue/where-the-rub-is-sometimes/
Pampering place?	crosswordtracker.com/clue/pampering-place-2/
Health retreat	crosswordtracker.com/clue/health-retreat-1/
Massage therapist's employer	crosswordtracker.com/clue/massage-therapists-employer/
Mudpack offerer	crosswordtracker.com/clue/mudpack-offerer/
Hot tub	http://www.crosswordgiant.com/crossword-clue/239349/Hot-tub
Resort	http://www.crosswordgiant.com/crossword-clue/218975/Resort
Health resort	http://www.crosswordgiant.com/crossword-clue/51082/Health-resort
Masseur's workplace	http://www.crosswordgiant.com/crossword-clue/84732/Masseurs-workplace
Relaxing resort	http://www.crosswordgiant.com/crossword-clue/223787/Relaxing-resort
Masseur's place	http://www.crosswordgiant.com/crossword-clue/243688/Masseurs-place
Restful resort	http://www.crosswordgiant.com/crossword-clue/375079/Restful-resort
Hotel amenity	http://www.crosswordgiant.com/crossword-clue/211818/Hotel-amenity
Place to relax	http://www.crosswordgiant.com/crossword-clue/81324/Place-to-relax
Fitness center	http://www.crosswordgiant.com/crossword-clue/271688/Fitness-center
Place for a mud bath	http://www.crosswordgiant.com/crossword-clue/70625/Place-for-a-mud-bath
Restorative resort	http://www.crosswordgiant.com/crossword-clue/101912/Restorative-resort
Pampering place	http://www.crosswordgiant.com/crossword-clue/33573/Pampering-place
Mineral spring	http://www.crosswordgiant.com/crossword-clue/47046/Mineral-spring
Place to unwind	http://www.crosswordgiant.com/crossword-clue/13138/Place-to-unwind
Place to be pampered	http://www.crosswordgiant.com/crossword-clue/334055/Place-to-be-pampered
Sauna site	http://www.crosswordgiant.com/crossword-clue/110105/Sauna-site
Health farm	http://www.crosswordgiant.com/crossword-clue/127998/Health-farm
Marienbad, for one	http://www.crosswordgiant.com/crossword-clue/22247/Marienbad-for-one
Health facility	http://www.crosswordgiant.com/crossword-clue/40772/Health-facility
Seaweed wrap site	http://www.crosswordgiant.com/crossword-clue/357749/Seaweed-wrap-site
Relaxing retreat	http://www.crosswordgiant.com/crossword-clue/113339/Relaxing-retreat
Relaxing place	http://www.crosswordgiant.com/crossword-clue/228324/Relaxing-place
Aromatherapy setting	http://www.crosswordgiant.com/crossword-clue/337344/Aromatherapy-setting
Health club	http://www.crosswordgiant.com/crossword-clue/15755/Health-club
Masseuse employer	http://www.crosswordgiant.com/crossword-clue/28266/Masseuse-employer
Hydrotherapy facility	http://www.crosswordgiant.com/crossword-clue/264057/Hydrotherapy-facility
Healthful resort	http://www.crosswordgiant.com/crossword-clue/379887/Healthful-resort
Resort at a mineral spring	http://www.crosswordgiant.com/crossword-clue/954406/Resort-at-a-mineral-spring
Massage setting	http://www.crosswordgiant.com/crossword-clue/245543/Massage-setting
Whirlpool site	http://www.crosswordgiant.com/crossword-clue/442464/Whirlpool-site
Relaxing site	http://www.crosswordgiant.com/crossword-clue/462267/Relaxing-site
Hot spring	http://www.crosswordgiant.com/crossword-clue/164139/Hot-spring
Bad Ems, e.g.	http://www.crosswordgiant.com/crossword-clue/18288/Bad-Ems-e.g
Hydromassage facility	http://www.crosswordgiant.com/crossword-clue/53174/Hydromassage-facility
Curative waters	http://www.crosswordgiant.com/crossword-clue/201861/Curative-waters
Place for the pampered	http://www.crosswordgiant.com/crossword-clue/238038/Place-for-the-pampered
Massage locale	http://www.crosswordgiant.com/crossword-clue/260669/Massage-locale
Healthful retreat	http://www.crosswordgiant.com/crossword-clue/268679/Healthful-retreat
Soaking site	http://www.crosswordgiant.com/crossword-clue/348600/Soaking-site
Whirlpool whereabouts	http://www.crosswordgiant.com/crossword-clue/34246/Whirlpool-whereabouts
Whirlpool	http://www.crosswordgiant.com/crossword-clue/39271/Whirlpool
Day ___	http://www.crosswordgiant.com/crossword-clue/56788/Day-___
Masseur's milieu	http://www.crosswordgiant.com/crossword-clue/122188/Masseurs-milieu
Evian, for one	http://www.crosswordgiant.com/crossword-clue/141934/Evian-for-one
Masseuse's milieu	http://www.crosswordgiant.com/crossword-clue/188134/Masseuses-milieu
Curative locale	http://www.crosswordgiant.com/crossword-clue/198025/Curative-locale
Curative place	http://www.crosswordgiant.com/crossword-clue/203259/Curative-place
Hotel feature	http://www.crosswordgiant.com/crossword-clue/238597/Hotel-feature
Body shop?	http://www.crosswordgiant.com/crossword-clue/322036/Body-shop
Mud bath setting	http://www.crosswordgiant.com/crossword-clue/324288/Mud-bath-setting
Relaxing spot	http://www.crosswordgiant.com/crossword-clue/380677/Relaxing-spot
Aromatherapy venue	http://www.crosswordgiant.com/crossword-clue/384405/Aromatherapy-venue
Mud bath site	http://www.crosswordgiant.com/crossword-clue/559613/Mud-bath-site
Place for pampering	http://www.crosswordgiant.com/crossword-clue/705337/Place-for-pampering
Five-star hotel amenity	http://www.crosswordgiant.com/crossword-clue/755971/Five-star-hotel-amenity
Massage facility	http://www.crosswordgiant.com/crossword-clue/832047/Massage-facility
Masseur's workplace, maybe	http://www.crosswordgiant.com/crossword-clue/86441/Masseurs-workplace-maybe
Place to get a massage	http://www.crosswordgiant.com/crossword-clue/154596/Place-to-get-a-massage
Destination for the pampered	http://www.crosswordgiant.com/crossword-clue/189933/Destination-for-the-pampered
Where fat cats get less fat	http://www.crosswordgiant.com/crossword-clue/191582/Where-fat-cats-get-less-fat
Jacuzzi	http://www.crosswordgiant.com/crossword-clue/205970/Jacuzzi
Place for sweaters?	http://www.crosswordgiant.com/crossword-clue/249469/Place-for-sweaters
Royal Leamington feature	http://www.crosswordgiant.com/crossword-clue/283064/Royal-Leamington-feature
Where to get rubbed the right way?	http://www.crosswordgiant.com/crossword-clue/721799/Where-to-get-rubbed-the-right-way
Elite retreat	http://www.crosswordgiant.com/crossword-clue/875664/Elite-retreat
Detoxifying place	http://www.crosswordgiant.com/crossword-clue/896803/Detoxifying-place
Watering place	http://www.crosswordgiant.com/crossword-clue/914842/Watering-place
Vacation spot	http://www.crosswordgiant.com/crossword-clue/1152/Vacation-spot
Watering hole	http://www.crosswordgiant.com/crossword-clue/6993/Watering-hole
Spring	http://www.crosswordgiant.com/crossword-clue/7187/Spring
Fat farm	http://www.crosswordgiant.com/crossword-clue/15685/Fat-farm
Place for sweaters	http://www.crosswordgiant.com/crossword-clue/38954/Place-for-sweaters
Jacuzzi site	http://www.crosswordgiant.com/crossword-clue/40965/Jacuzzi-site
Health haven	http://www.crosswordgiant.com/crossword-clue/53048/Health-haven
Saratoga Springs, e.g.	http://www.crosswordgiant.com/crossword-clue/72352/Saratoga-Springs-e.g
�vian, e.g.	http://www.crosswordgiant.com/crossword-clue/80946/vian-e.g
Luxury hotel feature	http://www.crosswordgiant.com/crossword-clue/82241/Luxury-hotel-feature
Place for a massage	http://www.crosswordgiant.com/crossword-clue/117461/Place-for-a-massage
Luxurious resort	http://www.crosswordgiant.com/crossword-clue/124639/Luxurious-resort
Jacuzzi setting	http://www.crosswordgiant.com/crossword-clue/124978/Jacuzzi-setting
Workout center	http://www.crosswordgiant.com/crossword-clue/136762/Workout-center
Splashy resort	http://www.crosswordgiant.com/crossword-clue/152248/Splashy-resort
Where you might get a soaking	http://www.crosswordgiant.com/crossword-clue/165871/Where-you-might-get-a-soaking
Place for a soak	http://www.crosswordgiant.com/crossword-clue/178845/Place-for-a-soak
Workout site	http://www.crosswordgiant.com/crossword-clue/188015/Workout-site
Mudbath locale	http://www.crosswordgiant.com/crossword-clue/189066/Mudbath-locale
Wet retreat	http://www.crosswordgiant.com/crossword-clue/201859/Wet-retreat
Spot for a rubdown	http://www.crosswordgiant.com/crossword-clue/218448/Spot-for-a-rubdown
Bath site	http://www.crosswordgiant.com/crossword-clue/264048/Bath-site
Getaway spot	http://www.crosswordgiant.com/crossword-clue/279853/Getaway-spot
Mudpack offerer	http://www.crosswordgiant.com/crossword-clue/285005/Mudpack-offerer
Healthful getaway	http://www.crosswordgiant.com/crossword-clue/294764/Healthful-getaway
Site of mineral waters	http://www.crosswordgiant.com/crossword-clue/496533/Site-of-mineral-waters
Natural spring	http://www.crosswordgiant.com/crossword-clue/506692/Natural-spring
Resort with hot springs	http://www.crosswordgiant.com/crossword-clue/557648/Resort-with-hot-springs
Place with curative waters	http://www.crosswordgiant.com/crossword-clue/585670/Place-with-curative-waters
Place to refresh oneself	http://www.crosswordgiant.com/crossword-clue/591589/Place-to-refresh-oneself
Where one might get steamed	http://www.crosswordgiant.com/crossword-clue/635966/Where-one-might-get-steamed
Resort feature	http://www.crosswordgiant.com/crossword-clue/680821/Resort-feature
Hot springs facility	http://www.crosswordgiant.com/crossword-clue/696960/Hot-springs-facility
Its customers may get steamed	http://www.crosswordgiant.com/crossword-clue/750249/Its-customers-may-get-steamed
Upscale hotel amenity	http://www.crosswordgiant.com/crossword-clue/826143/Upscale-hotel-amenity
Relaxing salon	http://www.crosswordgiant.com/crossword-clue/850178/Relaxing-salon
Whirlpool locale	http://www.crosswordgiant.com/crossword-clue/870812/Whirlpool-locale
Mud bath venue	http://www.crosswordgiant.com/crossword-clue/878410/Mud-bath-venue
Where to get a massage	http://www.crosswordgiant.com/crossword-clue/891320/Where-to-get-a-massage
Evian or Carlsbad	http://www.crosswordgiant.com/crossword-clue/922609/Evian-or-Carlsbad
Watering-place	http://www.crosswordgiant.com/crossword-clue/950888/Watering-place
Health resort near a spring	http://www.crosswordgiant.com/crossword-clue/970535/Health-resort-near-a-spring
Mud-bath venue	http://www.crosswordgiant.com/crossword-clue/1208244/Mud-bath-venue
Eponymous Belgian town	http://www.crosswordgiant.com/crossword-clue/1596/Eponymous-Belgian-town
See 62-Across	http://www.crosswordgiant.com/crossword-clue/2792/See-62-Across
Hot spot	http://www.crosswordgiant.com/crossword-clue/3682/Hot-spot
Mineral springs	http://www.crosswordgiant.com/crossword-clue/5271/Mineral-springs
Loser's place?	http://www.crosswordgiant.com/crossword-clue/6593/Losers-place
Health center	http://www.crosswordgiant.com/crossword-clue/13589/Health-center
Trainer's workplace, perhaps	http://www.crosswordgiant.com/crossword-clue/29835/Trainers-workplace-perhaps
Belgian resort town	http://www.crosswordgiant.com/crossword-clue/40060/Belgian-resort-town
Resort in the Ardennes	http://www.crosswordgiant.com/crossword-clue/42400/Resort-in-the-Ardennes
Workout locale	http://www.crosswordgiant.com/crossword-clue/46119/Workout-locale
Takeoff place?	http://www.crosswordgiant.com/crossword-clue/56448/Takeoff-place
It might make you sweat	http://www.crosswordgiant.com/crossword-clue/82754/It-might-make-you-sweat
Baden-Baden, for one	http://www.crosswordgiant.com/crossword-clue/82883/Baden-Baden-for-one
Workout haven	http://www.crosswordgiant.com/crossword-clue/120195/Workout-haven
Spring locale	http://www.crosswordgiant.com/crossword-clue/121612/Spring-locale
Steamy place	http://www.crosswordgiant.com/crossword-clue/133449/Steamy-place
A fashionable hotel	http://www.crosswordgiant.com/crossword-clue/158247/A-fashionable-hotel
Toning-up spot	http://www.crosswordgiant.com/crossword-clue/165242/Toning-up-spot
Resort with mineral springs	http://www.crosswordgiant.com/crossword-clue/181503/Resort-with-mineral-springs
Vacation destination	http://www.crosswordgiant.com/crossword-clue/191171/Vacation-destination
Leamington's attraction	http://www.crosswordgiant.com/crossword-clue/202167/Leamingtons-attraction
Where you might get into hot water	http://www.crosswordgiant.com/crossword-clue/207159/Where-you-might-get-into-hot-water
Vichy, notably	http://www.crosswordgiant.com/crossword-clue/210233/Vichy-notably
Baden-Baden, e.g.	http://www.crosswordgiant.com/crossword-clue/212520/Baden-Baden-e.g
Baths	http://www.crosswordgiant.com/crossword-clue/217120/Baths
Resort for the pampered	http://www.crosswordgiant.com/crossword-clue/218606/Resort-for-the-pampered
Getaway	http://www.crosswordgiant.com/crossword-clue/223807/Getaway
Treadmill site, perhaps	http://www.crosswordgiant.com/crossword-clue/226158/Treadmill-site-perhaps
Belgian resort	http://www.crosswordgiant.com/crossword-clue/232945/Belgian-resort
Joint for health?	http://www.crosswordgiant.com/crossword-clue/236609/Joint-for-health
Restorative retreat	http://www.crosswordgiant.com/crossword-clue/238234/Restorative-retreat
Treadmill site	http://www.crosswordgiant.com/crossword-clue/253533/Treadmill-site
Perspiration site	http://www.crosswordgiant.com/crossword-clue/255994/Perspiration-site
Where you may get into hot water	http://www.crosswordgiant.com/crossword-clue/298695/Where-you-may-get-into-hot-water
Gym alternative	http://www.crosswordgiant.com/crossword-clue/302560/Gym-alternative
Dieter's resort	http://www.crosswordgiant.com/crossword-clue/310312/Dieters-resort
Hydrotherapy venue	http://www.crosswordgiant.com/crossword-clue/312416/Hydrotherapy-venue
Pool site	http://www.crosswordgiant.com/crossword-clue/314917/Pool-site
Place to find sweaters	http://www.crosswordgiant.com/crossword-clue/315795/Place-to-find-sweaters
Spot for hydrotherapy	http://www.crosswordgiant.com/crossword-clue/326019/Spot-for-hydrotherapy
Good place to get into hot water	http://www.crosswordgiant.com/crossword-clue/334834/Good-place-to-get-into-hot-water
Soda fountain, in New England	http://www.crosswordgiant.com/crossword-clue/363633/Soda-fountain-in-New-England
Springs for a vacation	http://www.crosswordgiant.com/crossword-clue/363826/Springs-for-a-vacation
Tub-sharing place	http://www.crosswordgiant.com/crossword-clue/364163/Tub-sharing-place
Facial place	http://www.crosswordgiant.com/crossword-clue/365395/Facial-place
Resort of a sort	http://www.crosswordgiant.com/crossword-clue/367206/Resort-of-a-sort
Masseuse's workplace	http://www.crosswordgiant.com/crossword-clue/379663/Masseuses-workplace
Aromatherapy site	http://www.crosswordgiant.com/crossword-clue/381105/Aromatherapy-site
Facial spot?	http://www.crosswordgiant.com/crossword-clue/397376/Facial-spot
Body treatment venue	http://www.crosswordgiant.com/crossword-clue/399031/Body-treatment-venue
Resort for losers?	http://www.crosswordgiant.com/crossword-clue/400085/Resort-for-losers
Where to find sweaters	http://www.crosswordgiant.com/crossword-clue/412660/Where-to-find-sweaters
Facial spot	http://www.crosswordgiant.com/crossword-clue/464196/Facial-spot
Where you may find a sweater	http://www.crosswordgiant.com/crossword-clue/479212/Where-you-may-find-a-sweater
Place to get a peel	http://www.crosswordgiant.com/crossword-clue/480271/Place-to-get-a-peel
Belgian Grand Prix town	http://www.crosswordgiant.com/crossword-clue/487623/Belgian-Grand-Prix-town
Exercise site	http://www.crosswordgiant.com/crossword-clue/516117/Exercise-site
Steam bath site	http://www.crosswordgiant.com/crossword-clue/517317/Steam-bath-site
Whirlpool bath	http://www.crosswordgiant.com/crossword-clue/555293/Whirlpool-bath
Where you might get into hot water?	http://www.crosswordgiant.com/crossword-clue/561458/Where-you-might-get-into-hot-water
Chic getaway	http://www.crosswordgiant.com/crossword-clue/563998/Chic-getaway
Mud bath locale	http://www.crosswordgiant.com/crossword-clue/566114/Mud-bath-locale
Place to pamper oneself	http://www.crosswordgiant.com/crossword-clue/575772/Place-to-pamper-oneself
Refreshing place	http://www.crosswordgiant.com/crossword-clue/583039/Refreshing-place
Place for a facial	http://www.crosswordgiant.com/crossword-clue/594673/Place-for-a-facial
Place for a body wrap	http://www.crosswordgiant.com/crossword-clue/625061/Place-for-a-body-wrap
Where losing is intentional	http://www.crosswordgiant.com/crossword-clue/639580/Where-losing-is-intentional
You can get soaked here	http://www.crosswordgiant.com/crossword-clue/649176/You-can-get-soaked-here
Relaxation destination	http://www.crosswordgiant.com/crossword-clue/649386/Relaxation-destination
Day getaway, perhaps	http://www.crosswordgiant.com/crossword-clue/662528/Day-getaway-perhaps
Place for a swim	http://www.crosswordgiant.com/crossword-clue/696443/Place-for-a-swim
Jetted bath	http://www.crosswordgiant.com/crossword-clue/710987/Jetted-bath
Indulgent place	http://www.crosswordgiant.com/crossword-clue/721252/Indulgent-place
Bad Ems, for one	http://www.crosswordgiant.com/crossword-clue/723733/Bad-Ems-for-one
Rejuvenation location	http://www.crosswordgiant.com/crossword-clue/728670/Rejuvenation-location
Site of rejuvenation	http://www.crosswordgiant.com/crossword-clue/783147/Site-of-rejuvenation
Sauna locale	http://www.crosswordgiant.com/crossword-clue/786526/Sauna-locale
Bachelorette party locale	http://www.crosswordgiant.com/crossword-clue/801215/Bachelorette-party-locale
Facility with a jacuzzi	http://www.crosswordgiant.com/crossword-clue/807598/Facility-with-a-jacuzzi
Where you might get steamed	http://www.crosswordgiant.com/crossword-clue/814615/Where-you-might-get-steamed
Microdermabrasion site	http://www.crosswordgiant.com/crossword-clue/823988/Microdermabrasion-site
Place to get a mud bath	http://www.crosswordgiant.com/crossword-clue/833068/Place-to-get-a-mud-bath
Hydrotherapy spot	http://www.crosswordgiant.com/crossword-clue/833744/Hydrotherapy-spot
New Age music player, often	http://www.crosswordgiant.com/crossword-clue/840411/New-Age-music-player-often
Whirlpool tub	http://www.crosswordgiant.com/crossword-clue/843868/Whirlpool-tub
Jacuzzi, e.g.	http://www.crosswordgiant.com/crossword-clue/844905/Jacuzzi-e.g
Where the robed are rubbed	http://www.crosswordgiant.com/crossword-clue/868061/Where-the-robed-are-rubbed
Bad Ems attraction	http://www.crosswordgiant.com/crossword-clue/875886/Bad-Ems-attraction
Place to chill out	http://www.crosswordgiant.com/crossword-clue/877332/Place-to-chill-out
Place for a jacuzzi	http://www.crosswordgiant.com/crossword-clue/878403/Place-for-a-jacuzzi
Place to get a facial	http://www.crosswordgiant.com/crossword-clue/890071/Place-to-get-a-facial
It might have a splashy opening	http://www.crosswordgiant.com/crossword-clue/918666/It-might-have-a-splashy-opening
Hot tub locale	http://www.crosswordgiant.com/crossword-clue/924903/Hot-tub-locale
Curative mineral spring	http://www.crosswordgiant.com/crossword-clue/1023069/Curative-mineral-spring
It's in in Europe	http://www.crosswordgiant.com/crossword-clue/1181852/Its-in-in-Europe
With this in it's healthy on the Continent	http://www.crosswordgiant.com/crossword-clue/1185635/With-this-in-its-healthy-on-the-Continent
This is healthy within on the Continent	http://www.crosswordgiant.com/crossword-clue/1190034/This-is-healthy-within-on-the-Continent
Hot tub site	http://www.crosswordgiant.com/crossword-clue/1202933/Hot-tub-site
Place for cardio and detox	http://www.crosswordgiant.com/crossword-clue/1221547/Place-for-cardio-and-detox
Aromatherapy locale	http://www.crosswordgiant.com/crossword-clue/1245693/Aromatherapy-locale
A well-endowed result	http://www.crosswordgiant.com/crossword-clue/1278074/A-well-endowed-result
Health resort at a mineral spring	http://www.crosswordgiant.com/crossword-clue/1461467/Health-resort-at-a-mineral-spring
Weekend retreat	http://www.crosswordgiant.com/crossword-clue/1474907/Weekend-retreat
Pampering place?	http://www.crosswordgiant.com/crossword-clue/1485275/Pampering-place
Detoxifying site	http://www.crosswordgiant.com/crossword-clue/1497666/Detoxifying-site
Place for a little R and R	http://www.crosswordgiant.com/crossword-clue/3483/Place-for-a-little-R-and-R
It's good for what ails you	http://www.crosswordgiant.com/crossword-clue/10724/Its-good-for-what-ails-you
Bathing facility	http://www.crosswordgiant.com/crossword-clue/11979/Bathing-facility
Kind of treatment	http://www.crosswordgiant.com/crossword-clue/12076/Kind-of-treatment
Retreat	http://www.crosswordgiant.com/crossword-clue/15938/Retreat
Hot springs	http://www.crosswordgiant.com/crossword-clue/19349/Hot-springs
Bath or �vian	http://www.crosswordgiant.com/crossword-clue/25598/Bath-or-vian
Where some losers hang out	http://www.crosswordgiant.com/crossword-clue/26620/Where-some-losers-hang-out
It might afford a remedy	http://www.crosswordgiant.com/crossword-clue/32179/It-might-afford-a-remedy
Resting place	http://www.crosswordgiant.com/crossword-clue/33758/Resting-place
Site of many losses	http://www.crosswordgiant.com/crossword-clue/38176/Site-of-many-losses
See 25-Across	http://www.crosswordgiant.com/crossword-clue/39784/See-25-Across
Workout facility	http://www.crosswordgiant.com/crossword-clue/45099/Workout-facility
It has springs	http://www.crosswordgiant.com/crossword-clue/47511/It-has-springs
Bath installation	http://www.crosswordgiant.com/crossword-clue/53737/Bath-installation
Recovery place	http://www.crosswordgiant.com/crossword-clue/55373/Recovery-place
___ City (Saratoga Springs nickname)	http://www.crosswordgiant.com/crossword-clue/58096/___-City-Saratoga-Springs-nickname
