Kind of party	crosswordtracker.com/clue/kind-of-party/
Elevenses, in England	crosswordtracker.com/clue/elevenses-in-england/
P.M. refreshment	crosswordtracker.com/clue/pm-refreshment/
Bohea, e.g.	crosswordtracker.com/clue/bohea-eg/
_____ service	crosswordtracker.com/clue/_____-service/
4:00 function	crosswordtracker.com/clue/400-function/
One may be high at 5:00	crosswordtracker.com/clue/one-may-be-high-at-500/
Red Rose, e.g.	crosswordtracker.com/clue/red-rose-eg/
Chow mein chaser	crosswordtracker.com/clue/chow-mein-chaser-1/
Cause of a restaurant stir?	crosswordtracker.com/clue/cause-of-a-restaurant-stir/
Kind of wagon or pot	crosswordtracker.com/clue/kind-of-wagon-or-pot/
Elevenses in London	crosswordtracker.com/clue/elevenses-in-london/
Elevenses in Elstree	crosswordtracker.com/clue/elevenses-in-elstree/
Congou or cachar	crosswordtracker.com/clue/congou-or-cachar/
Congou	crosswordtracker.com/clue/congou-2/
Hyson or souchong	crosswordtracker.com/clue/hyson-or-souchong/
Revolutionary party jetsam	crosswordtracker.com/clue/revolutionary-party-jetsam/
Jasmine or twankay	crosswordtracker.com/clue/jasmine-or-twankay/
Afternoon gathering	crosswordtracker.com/clue/afternoon-gathering-1/
Souchong, for one	crosswordtracker.com/clue/souchong-for-one/
Gunpowder or Twankay	crosswordtracker.com/clue/gunpowder-or-twankay/
Gowiddie, e.g.	crosswordtracker.com/clue/gowiddie-eg/
Assam, for one	crosswordtracker.com/clue/assam-for-one/
Bohea or bancha	crosswordtracker.com/clue/bohea-or-bancha/
Â“___ and SympathyÂ” (Robert Anderson play)	crosswordtracker.com/clue/___-and-sympathy-robert-anderson-play/
Soho social event	crosswordtracker.com/clue/soho-social-event/
Camellia sinensis product	crosswordtracker.com/clue/camellia-sinensis-product/
Robert AndersonÂ’s Â“___ and SympathyÂ”	crosswordtracker.com/clue/robert-andersons-___-and-sympathy/
"___ for Two"	crosswordtracker.com/clue/___-for-two/
Twankay, e.g.	crosswordtracker.com/clue/twankay-eg/
It can be green or black	crosswordtracker.com/clue/it-can-be-green-or-black/
Sushi bar quaff	crosswordtracker.com/clue/sushi-bar-quaff/
Sipped beverage	crosswordtracker.com/clue/sipped-beverage/
Congou, for example	crosswordtracker.com/clue/congou-for-example/
A caddy might hold it	crosswordtracker.com/clue/a-caddy-might-hold-it/
The East India Company traded in it	crosswordtracker.com/clue/the-east-india-company-traded-in-it/
Drink served with crumpets	crosswordtracker.com/clue/drink-served-with-crumpets/
Nanny ___ (folk remedy of sheep manure in hot water)	crosswordtracker.com/clue/nanny-___-folk-remedy-of-sheep-manure-in-hot-water/
Word with towel or service	crosswordtracker.com/clue/word-with-towel-or-service/
Word with rose or garden	crosswordtracker.com/clue/word-with-rose-or-garden/
Darjeeling, for example	crosswordtracker.com/clue/darjeeling-for-example/
"___ and Sympathy"	crosswordtracker.com/clue/___-and-sympathy-1/
Earl Grey, for example	crosswordtracker.com/clue/earl-grey-for-example/
Afternoon repast	crosswordtracker.com/clue/afternoon-repast/
Sympathy accompanier	crosswordtracker.com/clue/sympathy-accompanier/
Orange pekoe, for example	crosswordtracker.com/clue/orange-pekoe-for-example/
Hot pot contents	crosswordtracker.com/clue/hot-pot-contents/
Original cargo of the Cutty Sark	crosswordtracker.com/clue/original-cargo-of-the-cutty-sark/
Its bubble variety includes tapioca balls	crosswordtracker.com/clue/its-bubble-variety-includes-tapioca-balls/
Drink in a ceremony	crosswordtracker.com/clue/drink-in-a-ceremony/
Tazo, e.g.	crosswordtracker.com/clue/tazo-eg/
Drink in England	crosswordtracker.com/clue/drink-in-england/
Drawing room event	crosswordtracker.com/clue/drawing-room-event-1/
Common beverage	crosswordtracker.com/clue/common-beverage/
____ as it should be	crosswordtracker.com/clue/____-as-it-should-be/
Winter warmer upper	crosswordtracker.com/clue/winter-warmer-upper-1/
Pekoe	crosswordtracker.com/clue/pekoe-19/
____ For Two	crosswordtracker.com/clue/____-for-two/
English Breakfast or Orange Pekoe	crosswordtracker.com/clue/english-breakfast-or-orange-pekoe/
Djarling or Pekoe	crosswordtracker.com/clue/djarling-or-pekoe/
____ as it should be!	crosswordtracker.com/clue/____-as-it-should-be-1/
Pekoe or Djarling	crosswordtracker.com/clue/pekoe-or-djarling/
Afternoon ritual	crosswordtracker.com/clue/afternoon-ritual-1/
Pekoe,for one	crosswordtracker.com/clue/pekoefor-one/
Beverage served hot or cold	crosswordtracker.com/clue/beverage-served-hot-or-cold/
Crumpet companion	crosswordtracker.com/clue/crumpet-companion/
Caffeine provider	crosswordtracker.com/clue/caffeine-provider/
Start with spoons and cups?	crosswordtracker.com/clue/start-with-spoons-and-cups/
Word with bag or cup	crosswordtracker.com/clue/word-with-bag-or-cup/
Word with cake or party	crosswordtracker.com/clue/word-with-cake-or-party/
British time	crosswordtracker.com/clue/british-time/
A perk-me-up?	crosswordtracker.com/clue/a-perk-me-up/
Time in London?	crosswordtracker.com/clue/time-in-london/
Kind of cozy?	crosswordtracker.com/clue/kind-of-cozy-1/
The supermarket has bags and bags of it	crosswordtracker.com/clue/the-supermarket-has-bags-and-bags-of-it/
"Coffee, --- or me?"	crosswordtracker.com/clue/coffee-or-me/
Buy it by the bagful	crosswordtracker.com/clue/buy-it-by-the-bagful/
Crumpets' go-with	crosswordtracker.com/clue/crumpets-go-with-2/
Sympathy's partner?	crosswordtracker.com/clue/sympathys-partner-1/
Crumpets companion	crosswordtracker.com/clue/crumpets-companion/
Herb or mint	crosswordtracker.com/clue/herb-or-mint/
It may be for two	crosswordtracker.com/clue/it-may-be-for-two/
Congou or souchong	crosswordtracker.com/clue/congou-or-souchong/
Boston brew?	crosswordtracker.com/clue/boston-brew/
British break	crosswordtracker.com/clue/british-break-2/
It's effective when it gets in hot water	crosswordtracker.com/clue/its-effective-when-it-gets-in-hot-water/
4:00 event, in London	crosswordtracker.com/clue/400-event-in-london/
Leaves for the future?	crosswordtracker.com/clue/leaves-for-the-future/
Drink with a bag	crosswordtracker.com/clue/drink-with-a-bag/
Caffeinated brew	crosswordtracker.com/clue/caffeinated-brew/
Leaves for a drink from a bag?	crosswordtracker.com/clue/leaves-for-a-drink-from-a-bag/
Beverage choice	crosswordtracker.com/clue/beverage-choice/
Break in England	crosswordtracker.com/clue/break-in-england/
Leaves for a break?	crosswordtracker.com/clue/leaves-for-a-break/
It's bagged in the supermarket, often	crosswordtracker.com/clue/its-bagged-in-the-supermarket-often/
It comes in bags, often	crosswordtracker.com/clue/it-comes-in-bags-often/
Four o'clock serving, perhaps	crosswordtracker.com/clue/four-oclock-serving-perhaps/
Souchong, e.g.	crosswordtracker.com/clue/souchong-eg/
Sri Lanka crop	crosswordtracker.com/clue/sri-lanka-crop/
Pot product	crosswordtracker.com/clue/pot-product/
Leaves for the diner	crosswordtracker.com/clue/leaves-for-the-diner/
English breakfast, e.g.	crosswordtracker.com/clue/english-breakfast-eg/
Pot leaves	crosswordtracker.com/clue/pot-leaves/
Surrey sip	crosswordtracker.com/clue/surrey-sip/
Celestial Seasonings offering	crosswordtracker.com/clue/celestial-seasonings-offering/
Bigelow offering	crosswordtracker.com/clue/bigelow-offering/
Leaves held in the bag	crosswordtracker.com/clue/leaves-held-in-the-bag/
Party for Palin	crosswordtracker.com/clue/party-for-palin/
Four o'clock drink	crosswordtracker.com/clue/four-oclock-drink/
Pekoe or Assam	crosswordtracker.com/clue/pekoe-or-assam/
Spot in the United Kingdom?	crosswordtracker.com/clue/spot-in-the-united-kingdom/
One way to take opium	crosswordtracker.com/clue/one-way-to-take-opium/
Stash offering	crosswordtracker.com/clue/stash-offering/
Pinky-out drink	crosswordtracker.com/clue/pinky-out-drink/
Jasmine or Monk's Blend	crosswordtracker.com/clue/jasmine-or-monks-blend/
Drink with its own character in the Chinese alphabet	crosswordtracker.com/clue/drink-with-its-own-character-in-the-chinese-alphabet/
Reefer, in slang	crosswordtracker.com/clue/reefer-in-slang/
Beverage for Wallace and Gromit	crosswordtracker.com/clue/beverage-for-wallace-and-gromit/
Bag contents, often	crosswordtracker.com/clue/bag-contents-often/
Leoni of "Tower Heist"	crosswordtracker.com/clue/leoni-of-tower-heist/
Leaves in cups	crosswordtracker.com/clue/leaves-in-cups/
Weak ___	crosswordtracker.com/clue/weak-___-3/
Leaves in the pantry	crosswordtracker.com/clue/leaves-in-the-pantry/
Chinese restaurant freebie	crosswordtracker.com/clue/chinese-restaurant-freebie-1/
It may be drunk at 4:00	crosswordtracker.com/clue/it-may-be-drunk-at-400/
Afternoon social	http://www.crosswordgiant.com/crossword-clue/156896/Afternoon-social
Afternoon affair	http://www.crosswordgiant.com/crossword-clue/253645/Afternoon-affair
Earl Grey, e.g.	http://www.crosswordgiant.com/crossword-clue/64869/Earl-Grey-e.g
Coffee alternative	http://www.crosswordgiant.com/crossword-clue/36900/Coffee-alternative
Brewed beverage	http://www.crosswordgiant.com/crossword-clue/234315/Brewed-beverage
Earl Grey, for one	http://www.crosswordgiant.com/crossword-clue/266549/Earl-Grey-for-one
Pot brew	http://www.crosswordgiant.com/crossword-clue/240883/Pot-brew
Hot drink	http://www.crosswordgiant.com/crossword-clue/80933/Hot-drink
Some like it hot	http://www.crosswordgiant.com/crossword-clue/71627/Some-like-it-hot
Afternoon get-together	http://www.crosswordgiant.com/crossword-clue/314714/Afternoon-get-together
Caffeine source	http://www.crosswordgiant.com/crossword-clue/25114/Caffeine-source
Pot fill	http://www.crosswordgiant.com/crossword-clue/298357/Pot-fill
Sri Lanka export	http://www.crosswordgiant.com/crossword-clue/26520/Sri-Lanka-export
Brewed drink	http://www.crosswordgiant.com/crossword-clue/86197/Brewed-drink
Assam export	http://www.crosswordgiant.com/crossword-clue/250101/Assam-export
Beverage from leaves	http://www.crosswordgiant.com/crossword-clue/1006448/Beverage-from-leaves
Steeped beverage	http://www.crosswordgiant.com/crossword-clue/66229/Steeped-beverage
Genteel affair	http://www.crosswordgiant.com/crossword-clue/40821/Genteel-affair
Leaves for a drink	http://www.crosswordgiant.com/crossword-clue/313985/Leaves-for-a-drink
Herbal brew	http://www.crosswordgiant.com/crossword-clue/317230/Herbal-brew
Brit's brew	http://www.crosswordgiant.com/crossword-clue/324394/Brits-brew
Tetley product	http://www.crosswordgiant.com/crossword-clue/10793/Tetley-product
Hyson, for one	http://www.crosswordgiant.com/crossword-clue/115488/Hyson-for-one
Darjeeling, for one	http://www.crosswordgiant.com/crossword-clue/241313/Darjeeling-for-one
Oolong, for one	http://www.crosswordgiant.com/crossword-clue/47080/Oolong-for-one
1773 jetsam	http://www.crosswordgiant.com/crossword-clue/62951/1773-jetsam
Leaves in a bag	http://www.crosswordgiant.com/crossword-clue/85788/Leaves-in-a-bag
Crumpets go-with	http://www.crosswordgiant.com/crossword-clue/143209/Crumpets-go-with
Chinese export	http://www.crosswordgiant.com/crossword-clue/192035/Chinese-export
Earl Grey, e.g	http://www.crosswordgiant.com/crossword-clue/1211997/Earl-Grey-e.g
Herbal drink	http://www.crosswordgiant.com/crossword-clue/11581/Herbal-drink
Gunpowder, for one	http://www.crosswordgiant.com/crossword-clue/125053/Gunpowder-for-one
Society affair	http://www.crosswordgiant.com/crossword-clue/128428/Society-affair
Mad Hatter's drink	http://www.crosswordgiant.com/crossword-clue/213063/Mad-Hatters-drink
Mad Hatter's quaff	http://www.crosswordgiant.com/crossword-clue/277409/Mad-Hatters-quaff
Drink with crumpets	http://www.crosswordgiant.com/crossword-clue/280272/Drink-with-crumpets
"Coffee or ___?"	http://www.crosswordgiant.com/crossword-clue/757952/Coffee-or-___
Social	http://www.crosswordgiant.com/crossword-clue/29372/Social
Wonderland drink	http://www.crosswordgiant.com/crossword-clue/34960/Wonderland-drink
British brew	http://www.crosswordgiant.com/crossword-clue/233837/British-brew
Orange pekoe, for one	http://www.crosswordgiant.com/crossword-clue/314313/Orange-pekoe-for-one
It's in the bag	http://www.crosswordgiant.com/crossword-clue/339276/Its-in-the-bag
Afternoon gathering	http://www.crosswordgiant.com/crossword-clue/355887/Afternoon-gathering
It's for two, in song	http://www.crosswordgiant.com/crossword-clue/412545/Its-for-two-in-song
Crumpets partner	http://www.crosswordgiant.com/crossword-clue/418587/Crumpets-partner
___ party	http://www.crosswordgiant.com/crossword-clue/817097/___-party
It's served in spots	http://www.crosswordgiant.com/crossword-clue/52631/Its-served-in-spots
Darjeeling or oolong	http://www.crosswordgiant.com/crossword-clue/68817/Darjeeling-or-oolong
It may be served in spots	http://www.crosswordgiant.com/crossword-clue/77860/It-may-be-served-in-spots
Caddy's holding	http://www.crosswordgiant.com/crossword-clue/80514/Caddys-holding
Afternoon event	http://www.crosswordgiant.com/crossword-clue/123232/Afternoon-event
Social event	http://www.crosswordgiant.com/crossword-clue/131033/Social-event
Leaves in the bag?	http://www.crosswordgiant.com/crossword-clue/150568/Leaves-in-the-bag
Drink from a bag	http://www.crosswordgiant.com/crossword-clue/152723/Drink-from-a-bag
Midafternoon social	http://www.crosswordgiant.com/crossword-clue/217828/Midafternoon-social
Afternoon party	http://www.crosswordgiant.com/crossword-clue/219302/Afternoon-party
Japanese ceremonial drink	http://www.crosswordgiant.com/crossword-clue/309763/Japanese-ceremonial-drink
Lipton product	http://www.crosswordgiant.com/crossword-clue/323948/Lipton-product
Steeped stuff	http://www.crosswordgiant.com/crossword-clue/491669/Steeped-stuff
Leaves in hot water	http://www.crosswordgiant.com/crossword-clue/555428/Leaves-in-hot-water
1773 jetsam in Boston Harbor	http://www.crosswordgiant.com/crossword-clue/604388/1773-jetsam-in-Boston-Harbor
Leaves in hot water?	http://www.crosswordgiant.com/crossword-clue/731746/Leaves-in-hot-water
Afternoon drink	http://www.crosswordgiant.com/crossword-clue/788083/Afternoon-drink
Popular drink	http://www.crosswordgiant.com/crossword-clue/978687/Popular-drink
It may be high in the afternoon	http://www.crosswordgiant.com/crossword-clue/1638/It-may-be-high-in-the-afternoon
Kind of party	http://www.crosswordgiant.com/crossword-clue/51439/Kind-of-party
Picker-upper	http://www.crosswordgiant.com/crossword-clue/52748/Picker-upper
Sri Lankan export	http://www.crosswordgiant.com/crossword-clue/68025/Sri-Lankan-export
Sympathy's partner	http://www.crosswordgiant.com/crossword-clue/109920/Sympathys-partner
Hyson, e.g.	http://www.crosswordgiant.com/crossword-clue/110905/Hyson-e.g
Beverage for two?	http://www.crosswordgiant.com/crossword-clue/137609/Beverage-for-two
Afternoon event in Chelsea	http://www.crosswordgiant.com/crossword-clue/144115/Afternoon-event-in-Chelsea
It gets into hot water	http://www.crosswordgiant.com/crossword-clue/144272/It-gets-into-hot-water
Oolong or pekoe	http://www.crosswordgiant.com/crossword-clue/170707/Oolong-or-pekoe
It's bagged in the supermarket	http://www.crosswordgiant.com/crossword-clue/210911/Its-bagged-in-the-supermarket
'-- and Sympathy'	http://www.crosswordgiant.com/crossword-clue/258566/-and-Sympathy
Mid-afternoon social	http://www.crosswordgiant.com/crossword-clue/260116/Mid-afternoon-social
Pekoe, e.g.	http://www.crosswordgiant.com/crossword-clue/295755/Pekoe-e.g
Chanoyu ritual drink	http://www.crosswordgiant.com/crossword-clue/296936/Chanoyu-ritual-drink
It comes in bags, often	http://www.crosswordgiant.com/crossword-clue/319158/It-comes-in-bags-often
Leaves in the bag	http://www.crosswordgiant.com/crossword-clue/322716/Leaves-in-the-bag
With 38-Across, Wonderland event	http://www.crosswordgiant.com/crossword-clue/322819/With-38-Across-Wonderland-event
High __	http://www.crosswordgiant.com/crossword-clue/342606/High-__
Sympathy partner	http://www.crosswordgiant.com/crossword-clue/355547/Sympathy-partner
Hot spot?	http://www.crosswordgiant.com/crossword-clue/383663/Hot-spot
Beverage	http://www.crosswordgiant.com/crossword-clue/392050/Beverage
Leaves in bags	http://www.crosswordgiant.com/crossword-clue/419016/Leaves-in-bags
Pekoe, for one	http://www.crosswordgiant.com/crossword-clue/425287/Pekoe-for-one
Hot brew	http://www.crosswordgiant.com/crossword-clue/440129/Hot-brew
Sleepytime or gunpowder	http://www.crosswordgiant.com/crossword-clue/443642/Sleepytime-or-gunpowder
Pekoe, for instance	http://www.crosswordgiant.com/crossword-clue/470078/Pekoe-for-instance
Chinese restaurant freebie	http://www.crosswordgiant.com/crossword-clue/474035/Chinese-restaurant-freebie
Social type	http://www.crosswordgiant.com/crossword-clue/534387/Social-type
Leaves after dinner?	http://www.crosswordgiant.com/crossword-clue/538205/Leaves-after-dinner
Genteel gathering	http://www.crosswordgiant.com/crossword-clue/598641/Genteel-gathering
Something brewing?	http://www.crosswordgiant.com/crossword-clue/613757/Something-brewing
Contents of some bags	http://www.crosswordgiant.com/crossword-clue/617304/Contents-of-some-bags
It goes with crumpets	http://www.crosswordgiant.com/crossword-clue/629947/It-goes-with-crumpets
Black or green drink	http://www.crosswordgiant.com/crossword-clue/756090/Black-or-green-drink
What some caddies hold	http://www.crosswordgiant.com/crossword-clue/825842/What-some-caddies-hold
Reason for a service break at Wimbledon?	http://www.crosswordgiant.com/crossword-clue/829756/Reason-for-a-service-break-at-Wimbledon
Eat the drink?	http://www.crosswordgiant.com/crossword-clue/987343/Eat-the-drink
Afternoon repast	http://www.crosswordgiant.com/crossword-clue/1030404/Afternoon-repast
Hot herbal drink	http://www.crosswordgiant.com/crossword-clue/1241458/Hot-herbal-drink
Afternoon social event	http://www.crosswordgiant.com/crossword-clue/1334326/Afternoon-social-event
Drink - meal	http://www.crosswordgiant.com/crossword-clue/1351918/Drink-meal
Afternoon brew	http://www.crosswordgiant.com/crossword-clue/1461245/Afternoon-brew
This is popular in spots	http://www.crosswordgiant.com/crossword-clue/13827/This-is-popular-in-spots
Afternoon service	http://www.crosswordgiant.com/crossword-clue/24649/Afternoon-service
Kind of service	http://www.crosswordgiant.com/crossword-clue/27933/Kind-of-service
Jasmine, for one	http://www.crosswordgiant.com/crossword-clue/28244/Jasmine-for-one
Jetsam of 1773	http://www.crosswordgiant.com/crossword-clue/39417/Jetsam-of-1773
Leaves for the afternoon?	http://www.crosswordgiant.com/crossword-clue/115919/Leaves-for-the-afternoon
British import	http://www.crosswordgiant.com/crossword-clue/124835/British-import
It may be in the bag	http://www.crosswordgiant.com/crossword-clue/127609/It-may-be-in-the-bag
Crumpet chaser	http://www.crosswordgiant.com/crossword-clue/153056/Crumpet-chaser
Party still celebrated in Boston	http://www.crosswordgiant.com/crossword-clue/167875/Party-still-celebrated-in-Boston
Herbal beverage	http://www.crosswordgiant.com/crossword-clue/180707/Herbal-beverage
Green beverage	http://www.crosswordgiant.com/crossword-clue/188200/Green-beverage
Boston castoff	http://www.crosswordgiant.com/crossword-clue/188729/Boston-castoff
Break in London	http://www.crosswordgiant.com/crossword-clue/191405/Break-in-London
Leaves for a party?	http://www.crosswordgiant.com/crossword-clue/191833/Leaves-for-a-party
Afternoon reception	http://www.crosswordgiant.com/crossword-clue/192305/Afternoon-reception
Herbal remedy	http://www.crosswordgiant.com/crossword-clue/202731/Herbal-remedy
Social drink	http://www.crosswordgiant.com/crossword-clue/203076/Social-drink
High ___	http://www.crosswordgiant.com/crossword-clue/213878/High-___
Ceylon Black, e.g.	http://www.crosswordgiant.com/crossword-clue/221771/Ceylon-Black-e.g
Pekoe or Darjeeling	http://www.crosswordgiant.com/crossword-clue/222244/Pekoe-or-Darjeeling
Social brew	http://www.crosswordgiant.com/crossword-clue/227554/Social-brew
Long Island drink	http://www.crosswordgiant.com/crossword-clue/232871/Long-Island-drink
The Mad Hatter's beverage	http://www.crosswordgiant.com/crossword-clue/236720/The-Mad-Hatters-beverage
'-- for Two'	http://www.crosswordgiant.com/crossword-clue/277643/-for-Two
Darjeeling, e.g.	http://www.crosswordgiant.com/crossword-clue/302130/Darjeeling-e.g
Alternative to coffee	http://www.crosswordgiant.com/crossword-clue/307464/Alternative-to-coffee
Four o'clock serving, perhaps	http://www.crosswordgiant.com/crossword-clue/320097/Four-oclock-serving-perhaps
Starbucks' offering	http://www.crosswordgiant.com/crossword-clue/321259/Starbucks-offering
What some balls are filled with	http://www.crosswordgiant.com/crossword-clue/322336/What-some-balls-are-filled-with
Garden party, maybe	http://www.crosswordgiant.com/crossword-clue/322439/Garden-party-maybe
A perk-me-up?	http://www.crosswordgiant.com/crossword-clue/324418/A-perk-me-up
Gunpowder, e.g.	http://www.crosswordgiant.com/crossword-clue/345017/Gunpowder-e.g
Wonderland quaff	http://www.crosswordgiant.com/crossword-clue/345744/Wonderland-quaff
Hot or iced drink	http://www.crosswordgiant.com/crossword-clue/347577/Hot-or-iced-drink
It's often iced in summer	http://www.crosswordgiant.com/crossword-clue/348779/Its-often-iced-in-summer
Kind of cozy?	http://www.crosswordgiant.com/crossword-clue/353015/Kind-of-cozy
4:00 social	http://www.crosswordgiant.com/crossword-clue/357447/400-social
Nonalcoholic brew	http://www.crosswordgiant.com/crossword-clue/363548/Nonalcoholic-brew
Tazo product	http://www.crosswordgiant.com/crossword-clue/364280/Tazo-product
Bagged leaves	http://www.crosswordgiant.com/crossword-clue/374828/Bagged-leaves
Rugby ritual	http://www.crosswordgiant.com/crossword-clue/375456/Rugby-ritual
Afternoon serving	http://www.crosswordgiant.com/crossword-clue/402565/Afternoon-serving
Pekoe or oolong	http://www.crosswordgiant.com/crossword-clue/404306/Pekoe-or-oolong
Chinese beverage	http://www.crosswordgiant.com/crossword-clue/431194/Chinese-beverage
Traditional beverage	http://www.crosswordgiant.com/crossword-clue/441140/Traditional-beverage
Common make-believe drink	http://www.crosswordgiant.com/crossword-clue/453155/Common-make-believe-drink
Boston __ Party	http://www.crosswordgiant.com/crossword-clue/476637/Boston-__-Party
You may have a spot of it	http://www.crosswordgiant.com/crossword-clue/487471/You-may-have-a-spot-of-it
Drink available in black, white, green and red	http://www.crosswordgiant.com/crossword-clue/501759/Drink-available-in-black-white-green-and-red
Brit's break	http://www.crosswordgiant.com/crossword-clue/508897/Brits-break
Leaves underwater?	http://www.crosswordgiant.com/crossword-clue/512438/Leaves-underwater
Four spot?	http://www.crosswordgiant.com/crossword-clue/541661/Four-spot
Spot in the afternoon?	http://www.crosswordgiant.com/crossword-clue/564121/Spot-in-the-afternoon
Boston -- Party	http://www.crosswordgiant.com/crossword-clue/567502/Boston-Party
White-gloves affair	http://www.crosswordgiant.com/crossword-clue/575885/White-gloves-affair
Party drink?	http://www.crosswordgiant.com/crossword-clue/580727/Party-drink
Brit's beverage	http://www.crosswordgiant.com/crossword-clue/581111/Brits-beverage
Pick-me-up cupful	http://www.crosswordgiant.com/crossword-clue/603657/Pick-me-up-cupful
Leaves in the pot	http://www.crosswordgiant.com/crossword-clue/620254/Leaves-in-the-pot
Leaves in a cup	http://www.crosswordgiant.com/crossword-clue/622898/Leaves-in-a-cup
Afternoon quaff	http://www.crosswordgiant.com/crossword-clue/630390/Afternoon-quaff
English Breakfast, for one	http://www.crosswordgiant.com/crossword-clue/637560/English-Breakfast-for-one
Break fluid?	http://www.crosswordgiant.com/crossword-clue/652813/Break-fluid
Beverage often served with sugar or lemon	http://www.crosswordgiant.com/crossword-clue/659042/Beverage-often-served-with-sugar-or-lemon
Party drink	http://www.crosswordgiant.com/crossword-clue/660864/Party-drink
Celestial Seasonings product	http://www.crosswordgiant.com/crossword-clue/666665/Celestial-Seasonings-product
Leaves with a caddy?	http://www.crosswordgiant.com/crossword-clue/705655/Leaves-with-a-caddy
Cricket drink	http://www.crosswordgiant.com/crossword-clue/725054/Cricket-drink
Caddy drink	http://www.crosswordgiant.com/crossword-clue/757680/Caddy-drink
Texas __: oil	http://www.crosswordgiant.com/crossword-clue/771775/Texas-__-oil
Mad Hatter's drink	http://www.crosswordgiant.com/crossword-clue/785864/Mad-Hatters-drink
Lipton drink	http://www.crosswordgiant.com/crossword-clue/786795/Lipton-drink
It may be iced in warm weather	http://www.crosswordgiant.com/crossword-clue/793792/It-may-be-iced-in-warm-weather
Caddy quaff	http://www.crosswordgiant.com/crossword-clue/798183/Caddy-quaff
Soho drink	http://www.crosswordgiant.com/crossword-clue/810708/Soho-drink
Drink with dim sum	http://www.crosswordgiant.com/crossword-clue/815614/Drink-with-dim-sum
Drink served in spots?	http://www.crosswordgiant.com/crossword-clue/825618/Drink-served-in-spots
Afternoon potful	http://www.crosswordgiant.com/crossword-clue/853301/Afternoon-potful
Drink from leaves	http://www.crosswordgiant.com/crossword-clue/888958/Drink-from-leaves
Afternoon beverage	http://www.crosswordgiant.com/crossword-clue/911260/Afternoon-beverage
Mad Hatter's offering	http://www.crosswordgiant.com/crossword-clue/928636/Mad-Hatters-offering
Word with garden or party	http://www.crosswordgiant.com/crossword-clue/933388/Word-with-garden-or-party
Drink for a meal	http://www.crosswordgiant.com/crossword-clue/950323/Drink-for-a-meal
Light afternoon meal	http://www.crosswordgiant.com/crossword-clue/1005866/Light-afternoon-meal
Light afternoon repast	http://www.crosswordgiant.com/crossword-clue/1029675/Light-afternoon-repast
Before you with the cup	http://www.crosswordgiant.com/crossword-clue/1141657/Before-you-with-the-cup
'Sounds before you come, sing afterwards annoyingly (3)'	http://www.crosswordgiant.com/crossword-clue/1176923/Sounds-before-you-come-sing-afterwards-annoyingly-3
'Sing after this, just to have you after it annoyingly (3)'	http://www.crosswordgiant.com/crossword-clue/1177325/Sing-after-this-just-to-have-you-after-it-annoyingly-3
A pro might get the blooming cup for this	http://www.crosswordgiant.com/crossword-clue/1183761/A-pro-might-get-the-blooming-cup-for-this
Sounds as if it's taken before you	http://www.crosswordgiant.com/crossword-clue/1184514/Sounds-as-if-its-taken-before-you
42 before you?	http://www.crosswordgiant.com/crossword-clue/1188466/42-before-you
Leaves make it before you, by the sound of it	http://www.crosswordgiant.com/crossword-clue/1189755/Leaves-make-it-before-you-by-the-sound-of-it
Leaves in the pot for this	http://www.crosswordgiant.com/crossword-clue/1190052/Leaves-in-the-pot-for-this
Oolong, e.g	http://www.crosswordgiant.com/crossword-clue/1221014/Oolong-e.g
Cha	http://www.crosswordgiant.com/crossword-clue/1371017/Cha
Kind of bag for leaves?	http://www.crosswordgiant.com/crossword-clue/1412339/Kind-of-bag-for-leaves
Contents of some small bags	http://www.crosswordgiant.com/crossword-clue/1452735/Contents-of-some-small-bags
Oolong, for example	http://www.crosswordgiant.com/crossword-clue/1483591/Oolong-for-example
Darjeeling, e.g	http://www.crosswordgiant.com/crossword-clue/1487835/Darjeeling-e.g
See 7-Down	http://www.crosswordgiant.com/crossword-clue/6471/See-7-Down
___ Rose	http://www.crosswordgiant.com/crossword-clue/14242/___-Rose
It may be black or green	http://www.crosswordgiant.com/crossword-clue/14440/It-may-be-black-or-green
After-dinner drink	http://www.crosswordgiant.com/crossword-clue/22179/After-dinner-drink
4:00, in Kent	http://www.crosswordgiant.com/crossword-clue/27562/400-in-Kent
Parlor drink	http://www.crosswordgiant.com/crossword-clue/30566/Parlor-drink
See 3-Down	http://www.crosswordgiant.com/crossword-clue/31045/See-3-Down
Iced ___	http://www.crosswordgiant.com/crossword-clue/40882/Iced-___
After-dinner offering	http://www.crosswordgiant.com/crossword-clue/43499/After-dinner-offering
Old-fashioned cold remedy	http://www.crosswordgiant.com/crossword-clue/45439/Old-fashioned-cold-remedy
See 15-Across	http://www.crosswordgiant.com/crossword-clue/47585/See-15-Across
Steeper?	http://www.crosswordgiant.com/crossword-clue/49106/Steeper
4:00 gathering	http://www.crosswordgiant.com/crossword-clue/51177/400-gathering
Kind of cozy	http://www.crosswordgiant.com/crossword-clue/52411/Kind-of-cozy
See 21-Across	http://www.crosswordgiant.com/crossword-clue/58364/See-21-Across
Twinings product	http://www.crosswordgiant.com/crossword-clue/62447/Twinings-product
Bubble ___	http://www.crosswordgiant.com/crossword-clue/65614/Bubble-___
Drink in a cup	http://www.crosswordgiant.com/crossword-clue/67126/Drink-in-a-cup
Afternoon break	http://www.crosswordgiant.com/crossword-clue/72991/Afternoon-break
