Jumble	crosswordtracker.com/clue/jumble/
Horner's dessert	crosswordheaven.com/clues/horners-dessert
Slapstick projectile	crosswordheaven.com/clues/slapstick-projectile
Reward for three little kittens	crosswordheaven.com/clues/reward-for-three-little-kittens
Bakery goodie	crosswordheaven.com/clues/bakery-goodie
Word with sweetie or cutie	crosswordheaven.com/clues/word-with-sweetie-or-cutie
Baked dish	crosswordheaven.com/clues/baked-dish
Dainty dish of blackbirds	crosswordheaven.com/clues/dainty-dish-of-blackbirds
Something in a shell	crosswordheaven.com/clues/something-in-a-shell
Lure for Simple Simon	crosswordheaven.com/clues/lure-for-simple-simon
Custard creation	crosswordheaven.com/clues/custard-creation
Apple or banana cream	crosswordheaven.com/clues/apple-or-banana-cream
Circular type of graph	crosswordheaven.com/clues/circular-type-of-graph
Apple or cherry creation	crosswordheaven.com/clues/apple-or-cherry-creation
A clown might get it in the face	crosswordheaven.com/clues/a-clown-might-get-it-in-the-face
Food for Jack Horner	crosswordheaven.com/clues/food-for-jack-horner
Thanksgiving wedge	crosswordheaven.com/clues/thanksgiving-wedge
Round dessert	crosswordheaven.com/clues/round-dessert
Cobbler, for example	crosswordheaven.com/clues/cobbler-for-example
Something easy, supposedly	crosswordheaven.com/clues/something-easy-supposedly
Thanksgiving staple	crosswordheaven.com/clues/thanksgiving-staple
Organizational figure	crosswordheaven.com/clues/organizational-figure
Diner staple	crosswordheaven.com/clues/diner-staple
Shoo-fly ___	crosswordheaven.com/clues/shoo-fly-___
Easy dessert?	crosswordheaven.com/clues/easy-dessert
Pizzeria product	crosswordheaven.com/clues/pizzeria-product
Endearment ender, often	crosswordheaven.com/clues/endearment-ender-often
Tin filler	crosswordheaven.com/clues/tin-filler
Mock apple ___	crosswordheaven.com/clues/mock-apple-___
Pecan or apple	crosswordheaven.com/clues/pecan-or-apple
Graphic symbol	crosswordheaven.com/clues/graphic-symbol
Hurled prop that might be made with shaving cream	crosswordheaven.com/clues/hurled-prop-that-might-be-made-with-shaving-cream
Domino's order	crosswordheaven.com/clues/dominos-order
Sweet treat	crosswordheaven.com/clues/sweet-treat
The horse in "National Velvet"	crosswordheaven.com/clues/the-horse-in-national-velvet
Lemon meringue, e.g.	crosswordheaven.com/clues/lemon-meringue-eg
Pastry	crosswordheaven.com/clues/pastry
Bakery offering	crosswordheaven.com/clues/bakery-offering
Crusty dish	crosswordheaven.com/clues/crusty-dish
Key lime, e.g.	crosswordheaven.com/clues/key-lime-eg
Jack Horner's treat	crosswordheaven.com/clues/jack-horners-treat
Eskimo ___	crosswordheaven.com/clues/eskimo-___
Trivial Pursuit symbol	crosswordheaven.com/clues/trivial-pursuit-symbol
Dessert that ties into the puzzle's theme	crosswordheaven.com/clues/dessert-that-ties-into-the-puzzles-theme
Something simple, supposedly	crosswordheaven.com/clues/something-simple-supposedly
Home to four-and-twenty blackbirds	crosswordheaven.com/clues/home-to-four-and-twenty-blackbirds
Cobbler s cousin	crosswordheaven.com/clues/cobbler-s-cousin
Last word of the theme song to "The Jeffersons"	crosswordheaven.com/clues/last-word-of-the-theme-song-to-the-jeffersons
Circular type of chart	crosswordheaven.com/clues/circular-type-of-chart
Homey dessert	crosswordheaven.com/clues/homey-dessert
Homey dessert	crosswordheaven.com/clues/homey-dessert
Chart format	crosswordheaven.com/clues/chart-format
Slapstick weapon	crosswordheaven.com/clues/slapstick-weapon
Diner treat	crosswordheaven.com/clues/diner-treat
Cobbler's cousin	crosswordheaven.com/clues/cobblers-cousin
Pizzeria buy	crosswordheaven.com/clues/pizzeria-buy
Treat for the Three Little Kittens	crosswordheaven.com/clues/treat-for-the-three-little-kittens
Chart style	crosswordheaven.com/clues/chart-style
Dessert	crosswordheaven.com/clues/dessert
Often fruity dessert	crosswordheaven.com/clues/often-fruity-dessert
Popular dessert	crosswordheaven.com/clues/popular-dessert
Cobbler kin	crosswordheaven.com/clues/cobbler-kin
Flaky treat	crosswordheaven.com/clues/flaky-treat
Pizza, e.g.	crosswordheaven.com/clues/pizza-eg
Bakery item	crosswordheaven.com/clues/bakery-item
Patisserie product	crosswordheaven.com/clues/patisserie-product
Prop for a clown	crosswordheaven.com/clues/prop-for-a-clown
Banana cream, for one	crosswordheaven.com/clues/banana-cream-for-one
Chart inspiration	crosswordheaven.com/clues/chart-inspiration
Chart choice	crosswordheaven.com/clues/chart-choice
Boston cream or Key lime	crosswordheaven.com/clues/boston-cream-or-key-lime
Boston cream ___	crosswordheaven.com/clues/boston-cream-___
Little Italy order	crosswordheaven.com/clues/little-italy-order
Mitten-finding kittens' reward	crosswordheaven.com/clues/mitten-finding-kittens-reward
Pizzeria creation	crosswordheaven.com/clues/pizzeria-creation
Chart template	crosswordheaven.com/clues/chart-template
Cherry or pizza creation	crosswordheaven.com/clues/cherry-or-pizza-creation
You might throw it in someone's face	crosswordheaven.com/clues/you-might-throw-it-in-someones-face
A kind of chart	crosswordheaven.com/clues/a-kind-of-chart
Apple or banana cream dessert	crosswordheaven.com/clues/apple-or-banana-cream-dessert
Saskatoon berry treat	crosswordheaven.com/clues/saskatoon-berry-treat
It's often a la mode	crosswordheaven.com/clues/its-often-a-la-mode
Chart genre	crosswordheaven.com/clues/chart-genre
Pumpkin pastry	crosswordheaven.com/clues/pumpkin-pastry
Quiche, essentially	crosswordheaven.com/clues/quiche-essentially
Pecan, e.g.	crosswordheaven.com/clues/pecan-eg
Ã€ la mode serving	crosswordheaven.com/clues/a-la-mode-serving
Chart model	crosswordheaven.com/clues/chart-model
With 19-Across, item for many cobblers	crosswordheaven.com/clues/with-19-across-item-for-many-cobblers
Dessert served in triangular slices	crosswordheaven.com/clues/dessert-served-in-triangular-slices
Chart or plate preceder	crosswordheaven.com/clues/chart-or-plate-preceder
Buster Keaton missile	crosswordheaven.com/clues/buster-keaton-missile
Lemon meringue ___	crosswordheaven.com/clues/lemon-meringue-___
Place for 24 blackbirds, in verse	crosswordheaven.com/clues/place-for-24-blackbirds-in-verse
Amount to be divvied up	crosswordheaven.com/clues/amount-to-be-divvied-up
Budget chart shape	crosswordheaven.com/clues/budget-chart-shape
___ Ã  la mode	crosswordheaven.com/clues/___-a-la-mode
Holiday dessert	crosswordheaven.com/clues/holiday-dessert
It may have a filling	crosswordheaven.com/clues/it-may-have-a-filling
Chart format	http://www.crosswordgiant.com/crossword-clue/231849/Chart-format
Diner dessert	http://www.crosswordgiant.com/crossword-clue/218641/Diner-dessert
Chart shape	http://www.crosswordgiant.com/crossword-clue/246273/Chart-shape
Slapstick missile	http://www.crosswordgiant.com/crossword-clue/290675/Slapstick-missile
Chart type	http://www.crosswordgiant.com/crossword-clue/225696/Chart-type
Slapstick weapon	http://www.crosswordgiant.com/crossword-clue/206626/Slapstick-weapon
Dessert choice	http://www.crosswordgiant.com/crossword-clue/70672/Dessert-choice
Slapstick prop	http://www.crosswordgiant.com/crossword-clue/195975/Slapstick-prop
Pastry crust with filling	http://www.crosswordgiant.com/crossword-clue/980955/Pastry-crust-with-filling
Pizza order	http://www.crosswordgiant.com/crossword-clue/22212/Pizza-order
Bakery buy	http://www.crosswordgiant.com/crossword-clue/166537/Bakery-buy
Cobbler's cousin	http://www.crosswordgiant.com/crossword-clue/236782/Cobblers-cousin
All-American dessert	http://www.crosswordgiant.com/crossword-clue/494619/All-American-dessert
Baked pastry dish	http://www.crosswordgiant.com/crossword-clue/1003911/Baked-pastry-dish
Pizzeria order	http://www.crosswordgiant.com/crossword-clue/3138/Pizzeria-order
Amount to be divided	http://www.crosswordgiant.com/crossword-clue/22731/Amount-to-be-divided
Epitome of easiness	http://www.crosswordgiant.com/crossword-clue/68807/Epitome-of-easiness
Symbol of easiness	http://www.crosswordgiant.com/crossword-clue/239289/Symbol-of-easiness
Diner treat	http://www.crosswordgiant.com/crossword-clue/696074/Diner-treat
Crusty dessert	http://www.crosswordgiant.com/crossword-clue/165817/Crusty-dessert
Crusty dessert	http://www.crosswordgiant.com/crossword-clue/165817/Crusty-dessert
Boston cream or Key lime	http://www.crosswordgiant.com/crossword-clue/1245337/Boston-cream-or-Key-lime
Sales pitch?	http://www.crosswordgiant.com/crossword-clue/24740/Sales-pitch
Quiche, e.g.	http://www.crosswordgiant.com/crossword-clue/49333/Quiche-e.g
Bakery offering	http://www.crosswordgiant.com/crossword-clue/54078/Bakery-offering
Rhubarb, for one	http://www.crosswordgiant.com/crossword-clue/230999/Rhubarb-for-one
Mississippi mud, e.g.	http://www.crosswordgiant.com/crossword-clue/266451/Mississippi-mud-e.g
Pizzeria buy	http://www.crosswordgiant.com/crossword-clue/287692/Pizzeria-buy
Slapstick projectile	http://www.crosswordgiant.com/crossword-clue/313522/Slapstick-projectile
Diner staple	http://www.crosswordgiant.com/crossword-clue/397232/Diner-staple
Cobbler	http://www.crosswordgiant.com/crossword-clue/34452/Cobbler
Symbol of simplicity	http://www.crosswordgiant.com/crossword-clue/46312/Symbol-of-simplicity
Thanksgiving wedge	http://www.crosswordgiant.com/crossword-clue/150212/Thanksgiving-wedge
It's slapstick material	http://www.crosswordgiant.com/crossword-clue/177936/Its-slapstick-material
Flaky dessert	http://www.crosswordgiant.com/crossword-clue/297266/Flaky-dessert
It may have a filling filling	http://www.crosswordgiant.com/crossword-clue/334465/It-may-have-a-filling-filling
It has some crust	http://www.crosswordgiant.com/crossword-clue/360251/It-has-some-crust
Thanksgiving dessert	http://www.crosswordgiant.com/crossword-clue/364385/Thanksgiving-dessert
Symbol of ease	http://www.crosswordgiant.com/crossword-clue/402944/Symbol-of-ease
Easy as ___	http://www.crosswordgiant.com/crossword-clue/478410/Easy-as-___
Mud concoction	http://www.crosswordgiant.com/crossword-clue/569458/Mud-concoction
Pizzeria creation	http://www.crosswordgiant.com/crossword-clue/613288/Pizzeria-creation
Lemon meringue, for one	http://www.crosswordgiant.com/crossword-clue/760107/Lemon-meringue-for-one
Round dessert	http://www.crosswordgiant.com/crossword-clue/839978/Round-dessert
A clown might get it in the face	http://www.crosswordgiant.com/crossword-clue/850299/A-clown-might-get-it-in-the-face
Baked dish covered with pastry	http://www.crosswordgiant.com/crossword-clue/972812/Baked-dish-covered-with-pastry
Pizza	http://www.crosswordgiant.com/crossword-clue/16303/Pizza
___-eyed	http://www.crosswordgiant.com/crossword-clue/30333/___-eyed
Kind of chart	http://www.crosswordgiant.com/crossword-clue/33528/Kind-of-chart
Cobbler, e.g.	http://www.crosswordgiant.com/crossword-clue/71403/Cobbler-e.g
Mincemeat dessert	http://www.crosswordgiant.com/crossword-clue/102178/Mincemeat-dessert
Exemplar of easiness	http://www.crosswordgiant.com/crossword-clue/112003/Exemplar-of-easiness
Slapstick staple	http://www.crosswordgiant.com/crossword-clue/144461/Slapstick-staple
Fruity dessert	http://www.crosswordgiant.com/crossword-clue/144792/Fruity-dessert
Thanksgiving staple	http://www.crosswordgiant.com/crossword-clue/146996/Thanksgiving-staple
Fruit-filled dessert	http://www.crosswordgiant.com/crossword-clue/151226/Fruit-filled-dessert
Type of chart	http://www.crosswordgiant.com/crossword-clue/160165/Type-of-chart
It's easy	http://www.crosswordgiant.com/crossword-clue/209186/Its-easy
Word with sugar or cream	http://www.crosswordgiant.com/crossword-clue/212860/Word-with-sugar-or-cream
Baked dessert	http://www.crosswordgiant.com/crossword-clue/234014/Baked-dessert
Word with cutie or sweetie	http://www.crosswordgiant.com/crossword-clue/331909/Word-with-cutie-or-sweetie
Comedy staple that goes "splat"	http://www.crosswordgiant.com/crossword-clue/346478/Comedy-staple-that-goes-splat
Thanksgiving finale	http://www.crosswordgiant.com/crossword-clue/372220/Thanksgiving-finale
Budget chart	http://www.crosswordgiant.com/crossword-clue/381216/Budget-chart
Dessert with a crust	http://www.crosswordgiant.com/crossword-clue/388352/Dessert-with-a-crust
Crusty treat	http://www.crosswordgiant.com/crossword-clue/407648/Crusty-treat
Set of wedges?	http://www.crosswordgiant.com/crossword-clue/435156/Set-of-wedges
Dessert favorite	http://www.crosswordgiant.com/crossword-clue/444756/Dessert-favorite
Bake-off entry	http://www.crosswordgiant.com/crossword-clue/463344/Bake-off-entry
Dessert option	http://www.crosswordgiant.com/crossword-clue/482624/Dessert-option
Dessert	http://www.crosswordgiant.com/crossword-clue/518906/Dessert
Bake sale offering	http://www.crosswordgiant.com/crossword-clue/537395/Bake-sale-offering
Pizzeria purchase	http://www.crosswordgiant.com/crossword-clue/543038/Pizzeria-purchase
Kind of filling	http://www.crosswordgiant.com/crossword-clue/655883/Kind-of-filling
Cake alternative	http://www.crosswordgiant.com/crossword-clue/698011/Cake-alternative
Domino's order	http://www.crosswordgiant.com/crossword-clue/890079/Dominos-order
Apple or blueberry	http://www.crosswordgiant.com/crossword-clue/902650/Apple-or-blueberry
In the sky, it's an empty promise	http://www.crosswordgiant.com/crossword-clue/964427/In-the-sky-its-an-empty-promise
Dish baked in pastry-lined pan	http://www.crosswordgiant.com/crossword-clue/970288/Dish-baked-in-pastry-lined-pan
Chart template	http://www.crosswordgiant.com/crossword-clue/1395177/Chart-template
Quiche, essentially	http://www.crosswordgiant.com/crossword-clue/1441240/Quiche-essentially
___ à la mode	http://www.crosswordgiant.com/crossword-clue/1489258/___-la-mode
Christmas ___	http://www.crosswordgiant.com/crossword-clue/572/Christmas-___
Bit of Trivial Pursuit equipment	http://www.crosswordgiant.com/crossword-clue/3516/Bit-of-Trivial-Pursuit-equipment
Something to go to a bakery for	http://www.crosswordgiant.com/crossword-clue/4084/Something-to-go-to-a-bakery-for
Pandowdy, e.g.	http://www.crosswordgiant.com/crossword-clue/8862/Pandowdy-e.g
Soupy Sales missile	http://www.crosswordgiant.com/crossword-clue/11940/Soupy-Sales-missile
Sugar ___	http://www.crosswordgiant.com/crossword-clue/12784/Sugar-___
Popular dessert	http://www.crosswordgiant.com/crossword-clue/15031/Popular-dessert
USA Today chart	http://www.crosswordgiant.com/crossword-clue/24193/USA-Today-chart
It has a shell	http://www.crosswordgiant.com/crossword-clue/25187/It-has-a-shell
Diner order	http://www.crosswordgiant.com/crossword-clue/31735/Diner-order
Trivial Pursuit piece	http://www.crosswordgiant.com/crossword-clue/34645/Trivial-Pursuit-piece
Kind of tin	http://www.crosswordgiant.com/crossword-clue/35760/Kind-of-tin
Item for Little Jack Horner	http://www.crosswordgiant.com/crossword-clue/43134/Item-for-Little-Jack-Horner
Prop in slapstick	http://www.crosswordgiant.com/crossword-clue/44642/Prop-in-slapstick
Patisserie product	http://www.crosswordgiant.com/crossword-clue/50851/Patisserie-product
Thanksgiving serving	http://www.crosswordgiant.com/crossword-clue/65855/Thanksgiving-serving
Crusty one?	http://www.crosswordgiant.com/crossword-clue/67955/Crusty-one
Three Stooges prop	http://www.crosswordgiant.com/crossword-clue/75544/Three-Stooges-prop
Pizzeria output	http://www.crosswordgiant.com/crossword-clue/85125/Pizzeria-output
Comedic missile	http://www.crosswordgiant.com/crossword-clue/129305/Comedic-missile
Order from Domino's	http://www.crosswordgiant.com/crossword-clue/129430/Order-from-Dominos
Ice cream go-with	http://www.crosswordgiant.com/crossword-clue/137875/Ice-cream-go-with
Dessert often served à la mode	http://www.crosswordgiant.com/crossword-clue/148619/Dessert-often-served-la-mode
Sweet treat	http://www.crosswordgiant.com/crossword-clue/149847/Sweet-treat
Graphic symbol	http://www.crosswordgiant.com/crossword-clue/150410/Graphic-symbol
It may be humble	http://www.crosswordgiant.com/crossword-clue/163904/It-may-be-humble
It might be in the sky	http://www.crosswordgiant.com/crossword-clue/169992/It-might-be-in-the-sky
Dessert in a pan	http://www.crosswordgiant.com/crossword-clue/169994/Dessert-in-a-pan
Dainty dish of blackbirds	http://www.crosswordgiant.com/crossword-clue/176377/Dainty-dish-of-blackbirds
After-dinner fare	http://www.crosswordgiant.com/crossword-clue/178986/After-dinner-fare
'American ___'	http://www.crosswordgiant.com/crossword-clue/182379/American-___
'National Velvet' horse	http://www.crosswordgiant.com/crossword-clue/184996/National-Velvet-horse
Word with sweetie or cutie	http://www.crosswordgiant.com/crossword-clue/192645/Word-with-sweetie-or-cutie
Pecan or apple	http://www.crosswordgiant.com/crossword-clue/194015/Pecan-or-apple
Tot's muddy concoction	http://www.crosswordgiant.com/crossword-clue/201308/Tots-muddy-concoction
Tin contents	http://www.crosswordgiant.com/crossword-clue/205695/Tin-contents
Clown's prop	http://www.crosswordgiant.com/crossword-clue/206314/Clowns-prop
Baked dish	http://www.crosswordgiant.com/crossword-clue/207527/Baked-dish
Humble follower	http://www.crosswordgiant.com/crossword-clue/209702/Humble-follower
Epitome of easiness?	http://www.crosswordgiant.com/crossword-clue/220059/Epitome-of-easiness
Mom's dessert	http://www.crosswordgiant.com/crossword-clue/222251/Moms-dessert
Humble dessert?	http://www.crosswordgiant.com/crossword-clue/235487/Humble-dessert
With 13-Down, a diner order	http://www.crosswordgiant.com/crossword-clue/255055/With-13-Down-a-diner-order
Bakery goodie	http://www.crosswordgiant.com/crossword-clue/256310/Bakery-goodie
Type of tin	http://www.crosswordgiant.com/crossword-clue/273750/Type-of-tin
Treat with a crust	http://www.crosswordgiant.com/crossword-clue/281907/Treat-with-a-crust
Key lime or Dutch apple	http://www.crosswordgiant.com/crossword-clue/291357/Key-lime-or-Dutch-apple
Horner's dessert	http://www.crosswordgiant.com/crossword-clue/296235/Horners-dessert
Reward for three little kittens	http://www.crosswordgiant.com/crossword-clue/330851/Reward-for-three-little-kittens
Goodie to be divided	http://www.crosswordgiant.com/crossword-clue/335311/Goodie-to-be-divided
Easy as __	http://www.crosswordgiant.com/crossword-clue/365005/Easy-as-__
Divisible whole, figuratively	http://www.crosswordgiant.com/crossword-clue/370959/Divisible-whole-figuratively
It may be served à la mode	http://www.crosswordgiant.com/crossword-clue/371682/It-may-be-served-la-mode
Crusty dish	http://www.crosswordgiant.com/crossword-clue/382780/Crusty-dish
Easy dessert?	http://www.crosswordgiant.com/crossword-clue/389430/Easy-dessert
Pizzeria staple	http://www.crosswordgiant.com/crossword-clue/390462/Pizzeria-staple
Thanksgiving dessert, often	http://www.crosswordgiant.com/crossword-clue/400187/Thanksgiving-dessert-often
Baked treat	http://www.crosswordgiant.com/crossword-clue/417115/Baked-treat
Pot attachment	http://www.crosswordgiant.com/crossword-clue/418538/Pot-attachment
Pastry	http://www.crosswordgiant.com/crossword-clue/423273/Pastry
Dessert order	http://www.crosswordgiant.com/crossword-clue/428534/Dessert-order
Sliced dessert	http://www.crosswordgiant.com/crossword-clue/431846/Sliced-dessert
Bakery item	http://www.crosswordgiant.com/crossword-clue/434207/Bakery-item
Horner put his thumb in it	http://www.crosswordgiant.com/crossword-clue/434359/Horner-put-his-thumb-in-it
Graph shape	http://www.crosswordgiant.com/crossword-clue/441062/Graph-shape
Apple or cherry e.g.	http://www.crosswordgiant.com/crossword-clue/452175/Apple-or-cherry-e.g
Bakery order	http://www.crosswordgiant.com/crossword-clue/453798/Bakery-order
Prop for a clown	http://www.crosswordgiant.com/crossword-clue/455525/Prop-for-a-clown
Mincemeat ___	http://www.crosswordgiant.com/crossword-clue/461468/Mincemeat-___
USA Today chart shape	http://www.crosswordgiant.com/crossword-clue/462126/USA-Today-chart-shape
What Jack Horner was eating	http://www.crosswordgiant.com/crossword-clue/465967/What-Jack-Horner-was-eating
Holiday dessert	http://www.crosswordgiant.com/crossword-clue/471619/Holiday-dessert
Pizzeria product	http://www.crosswordgiant.com/crossword-clue/473889/Pizzeria-product
Endearment ender, often	http://www.crosswordgiant.com/crossword-clue/481894/Endearment-ender-often
Whole pizza	http://www.crosswordgiant.com/crossword-clue/484355/Whole-pizza
Missile from a prankster	http://www.crosswordgiant.com/crossword-clue/485143/Missile-from-a-prankster
Chart style	http://www.crosswordgiant.com/crossword-clue/486657/Chart-style
Something simple, supposedly	http://www.crosswordgiant.com/crossword-clue/489835/Something-simple-supposedly
Dessert-cart choice	http://www.crosswordgiant.com/crossword-clue/491210/Dessert-cart-choice
Bakery purchase	http://www.crosswordgiant.com/crossword-clue/505289/Bakery-purchase
Velvet's horse	http://www.crosswordgiant.com/crossword-clue/508257/Velvets-horse
It's just below the upper crust?	http://www.crosswordgiant.com/crossword-clue/509541/Its-just-below-the-upper-crust
Shepherd's, for one	http://www.crosswordgiant.com/crossword-clue/511616/Shepherds-for-one
Hurled prop	http://www.crosswordgiant.com/crossword-clue/523346/Hurled-prop
Mock apple __	http://www.crosswordgiant.com/crossword-clue/525743/Mock-apple-__
Eight slices, often	http://www.crosswordgiant.com/crossword-clue/527467/Eight-slices-often
Dish that's a homonym for a number that relates to its shape	http://www.crosswordgiant.com/crossword-clue/545062/Dish-thats-a-homonym-for-a-number-that-relates-to-its-shape
Dessert in a tin	http://www.crosswordgiant.com/crossword-clue/546933/Dessert-in-a-tin
Shepherd's, e.g.	http://www.crosswordgiant.com/crossword-clue/546941/Shepherds-e.g
Tin filler	http://www.crosswordgiant.com/crossword-clue/555420/Tin-filler
Apple or peach, e.g.	http://www.crosswordgiant.com/crossword-clue/572643/Apple-or-peach-e.g
Shoofly ___	http://www.crosswordgiant.com/crossword-clue/581545/Shoofly-___
Dessert in the sky?	http://www.crosswordgiant.com/crossword-clue/583640/Dessert-in-the-sky
Often fruity dessert	http://www.crosswordgiant.com/crossword-clue/585516/Often-fruity-dessert
Statistical metaphor	http://www.crosswordgiant.com/crossword-clue/590363/Statistical-metaphor
Quiche shape	http://www.crosswordgiant.com/crossword-clue/608605/Quiche-shape
Enterprise, figuratively	http://www.crosswordgiant.com/crossword-clue/609408/Enterprise-figuratively
"National Velvet" horse, with "The"	http://www.crosswordgiant.com/crossword-clue/628432/National-Velvet-horse-with-The
See 41 Down	http://www.crosswordgiant.com/crossword-clue/633189/See-41-Down
Trivial Pursuit goal	http://www.crosswordgiant.com/crossword-clue/640611/Trivial-Pursuit-goal
It can be eaten a la mode	http://www.crosswordgiant.com/crossword-clue/652045/It-can-be-eaten-a-la-mode
Cobbler alternative	http://www.crosswordgiant.com/crossword-clue/659908/Cobbler-alternative
Sales chart metaphor	http://www.crosswordgiant.com/crossword-clue/659940/Sales-chart-metaphor
Pizza, e.g.	http://www.crosswordgiant.com/crossword-clue/665599/Pizza-e.g
Little Jack Horner's dessert	http://www.crosswordgiant.com/crossword-clue/668083/Little-Jack-Horners-dessert
Place for key limes	http://www.crosswordgiant.com/crossword-clue/670293/Place-for-key-limes
Shepherd's, for one	http://www.crosswordgiant.com/crossword-clue/676394/Shepherds-for-one
Dessert selection	http://www.crosswordgiant.com/crossword-clue/679978/Dessert-selection
Shoo-fly __	http://www.crosswordgiant.com/crossword-clue/683268/Shoo-fly-__
Representation of a budget, often	http://www.crosswordgiant.com/crossword-clue/686264/Representation-of-a-budget-often
Four-and-twenty blackbirds' place	http://www.crosswordgiant.com/crossword-clue/689948/Four-and-twenty-blackbirds-place
Rhubarb, e.g.	http://www.crosswordgiant.com/crossword-clue/702307/Rhubarb-e.g
It often has an upper crust	http://www.crosswordgiant.com/crossword-clue/712324/It-often-has-an-upper-crust
The horse in "National Velvet" (with "The")	http://www.crosswordgiant.com/crossword-clue/714879/The-horse-in-National-Velvet-with-The
Pizzeria offering	http://www.crosswordgiant.com/crossword-clue/724756/Pizzeria-offering
Pizza parlor order	http://www.crosswordgiant.com/crossword-clue/731639/Pizza-parlor-order
Budget representation	http://www.crosswordgiant.com/crossword-clue/758891/Budget-representation
The three little kittens' reward	http://www.crosswordgiant.com/crossword-clue/760222/The-three-little-kittens-reward
Something in a shell	http://www.crosswordgiant.com/crossword-clue/772766/Something-in-a-shell
Flaky treat	http://www.crosswordgiant.com/crossword-clue/799913/Flaky-treat
Little Jack Horner's dessert	http://www.crosswordgiant.com/crossword-clue/806571/Little-Jack-Horners-dessert
Lure for Simple Simon	http://www.crosswordgiant.com/crossword-clue/813870/Lure-for-Simple-Simon
Three Little Kittens' reward	http://www.crosswordgiant.com/crossword-clue/814744/Three-Little-Kittens-reward
Three Little Kittens' reward	http://www.crosswordgiant.com/crossword-clue/816975/Three-Little-Kittens-reward
Custard creation	http://www.crosswordgiant.com/crossword-clue/820620/Custard-creation
Apple or banana cream	http://www.crosswordgiant.com/crossword-clue/837604/Apple-or-banana-cream
Treat for the Three Little Kittens	http://www.crosswordgiant.com/crossword-clue/839034/Treat-for-the-Three-Little-Kittens
Apple or cherry creation	http://www.crosswordgiant.com/crossword-clue/849695/Apple-or-cherry-creation
Christmas dessert	http://www.crosswordgiant.com/crossword-clue/863354/Christmas-dessert
Cobbler, for example	http://www.crosswordgiant.com/crossword-clue/868662/Cobbler-for-example
Something easy, supposedly	http://www.crosswordgiant.com/crossword-clue/870878/Something-easy-supposedly
Hurled prop that might be made with shaving cream	http://www.crosswordgiant.com/crossword-clue/877422/Hurled-prop-that-might-be-made-with-shaving-cream
Fisherman’s hangout	http://www.crosswordgiant.com/crossword-clue/877986/Fishermans-hangout
Organizational figure	http://www.crosswordgiant.com/crossword-clue/891413/Organizational-figure
The horse in "National Velvet"	http://www.crosswordgiant.com/crossword-clue/905334/The-horse-in-National-Velvet
Cobbler kin	http://www.crosswordgiant.com/crossword-clue/912441/Cobbler-kin
Lemon meringue, e.g.	http://www.crosswordgiant.com/crossword-clue/919357/Lemon-meringue-e.g
Jack Horner's treat	http://www.crosswordgiant.com/crossword-clue/930188/Jack-Horners-treat
A baked dish covered with pastry	http://www.crosswordgiant.com/crossword-clue/955441/A-baked-dish-covered-with-pastry
Eskimo ___	http://www.crosswordgiant.com/crossword-clue/961961/Eskimo-___
In the sky, it's an unrealistic prospect	http://www.crosswordgiant.com/crossword-clue/1006056/In-the-sky-its-an-unrealistic-prospect
In the sky, it's a hopeless idea	http://www.crosswordgiant.com/crossword-clue/1009724/In-the-sky-its-a-hopeless-idea
In the sky, this dish is impractical	http://www.crosswordgiant.com/crossword-clue/1012804/In-the-sky-this-dish-is-impractical
In the sky, this is wishful thinking	http://www.crosswordgiant.com/crossword-clue/1027361/In-the-sky-this-is-wishful-thinking
In hte sky with a hardtop	http://www.crosswordgiant.com/crossword-clue/1072490/In-hte-sky-with-a-hardtop
Shades of how this could get one bald!	http://www.crosswordgiant.com/crossword-clue/1080256/Shades-of-how-this-could-get-one-bald
One for sorrow that's crusty	http://www.crosswordgiant.com/crossword-clue/1094352/One-for-sorrow-thats-crusty
Dozens of birds there for the king	http://www.crosswordgiant.com/crossword-clue/1118790/Dozens-of-birds-there-for-the-king
Although black and white, all black when cooked in this	http://www.crosswordgiant.com/crossword-clue/1134775/Although-black-and-white-all-black-when-cooked-in-this
It's crusty, and there it is in black and white	http://www.crosswordgiant.com/crossword-clue/1141346/Its-crusty-and-there-it-is-in-black-and-white
With a BA, King gets being made so crusty	http://www.crosswordgiant.com/crossword-clue/1147461/With-a-BA-King-gets-being-made-so-crusty
It's maybe in the sky it's baked	http://www.crosswordgiant.com/crossword-clue/1159219/Its-maybe-in-the-sky-its-baked
Given a B, a king might make this	http://www.crosswordgiant.com/crossword-clue/1161970/Given-a-B-a-king-might-make-this
Such ties might be worshipful yet crusty	http://www.crosswordgiant.com/crossword-clue/1170850/Such-ties-might-be-worshipful-yet-crusty
From the oven with crust: in 23 down with hope	http://www.crosswordgiant.com/crossword-clue/1171045/From-the-oven-with-crust-in-23-down-with-hope
Trivial Pursuit symbol	http://www.crosswordgiant.com/crossword-clue/1198729/Trivial-Pursuit-symbol
Dessert that ties into the puzzle's theme	http://www.crosswordgiant.com/crossword-clue/1205020/Dessert-that-ties-into-the-puzzles-theme
Home to four-and-twenty blackbirds	http://www.crosswordgiant.com/crossword-clue/1209041/Home-to-four-and-twenty-blackbirds
Last word of the theme song to 'The Jeffersons'	http://www.crosswordgiant.com/crossword-clue/1228187/Last-word-of-the-theme-song-to-The-Jeffersons
Circular type of chart	http://www.crosswordgiant.com/crossword-clue/1228890/Circular-type-of-chart
